scenario_id,connectivity_state,records,local_preservation,synchronization,soc_handoff,disconnect_start,disconnect_end,event_timestep,evidence_source,laboratory_generated,physical_vehicle,direct_actuation
C01_SPEED_SENSOR_SPOOFING,CONNECTED,285,False,NOT_REQUIRED,NOT_REQUIRED,300,305,300,LOCAL_FORENSIC_BUFFER,True,False,False
C01_SPEED_SENSOR_SPOOFING,DISCONNECTED,105,True,DEFERRED,DEFERRED,300,305,300,LOCAL_FORENSIC_BUFFER,True,False,False
C01_SPEED_SENSOR_SPOOFING,RECOVERED,75,False,READY,READY,300,305,300,LOCAL_FORENSIC_BUFFER,True,False,False
C02_BRAKE_ACCELERATOR_ATTACK,CONNECTED,285,False,NOT_REQUIRED,NOT_REQUIRED,300,305,300,LOCAL_FORENSIC_BUFFER,True,False,False
C02_BRAKE_ACCELERATOR_ATTACK,DISCONNECTED,105,True,DEFERRED,DEFERRED,300,305,300,LOCAL_FORENSIC_BUFFER,True,False,False
C02_BRAKE_ACCELERATOR_ATTACK,RECOVERED,75,False,READY,READY,300,305,300,LOCAL_FORENSIC_BUFFER,True,False,False
C03_TORQUE_DYNAMICS_ATTACK,CONNECTED,285,False,NOT_REQUIRED,NOT_REQUIRED,300,305,300,LOCAL_FORENSIC_BUFFER,True,False,False
C03_TORQUE_DYNAMICS_ATTACK,DISCONNECTED,105,True,DEFERRED,DEFERRED,300,305,300,LOCAL_FORENSIC_BUFFER,True,False,False
C03_TORQUE_DYNAMICS_ATTACK,RECOVERED,75,False,READY,READY,300,305,300,LOCAL_FORENSIC_BUFFER,True,False,False
C04_HV_POWER_ATTACK,CONNECTED,285,False,NOT_REQUIRED,NOT_REQUIRED,300,305,300,LOCAL_FORENSIC_BUFFER,True,False,False
C04_HV_POWER_ATTACK,DISCONNECTED,105,True,DEFERRED,DEFERRED,300,305,300,LOCAL_FORENSIC_BUFFER,True,False,False
C04_HV_POWER_ATTACK,RECOVERED,75,False,READY,READY,300,305,300,LOCAL_FORENSIC_BUFFER,True,False,False
C05_BATTERY_THERMAL_ATTACK,CONNECTED,285,False,NOT_REQUIRED,NOT_REQUIRED,300,305,300,LOCAL_FORENSIC_BUFFER,True,False,False
C05_BATTERY_THERMAL_ATTACK,DISCONNECTED,105,True,DEFERRED,DEFERRED,300,305,300,LOCAL_FORENSIC_BUFFER,True,False,False
C05_BATTERY_THERMAL_ATTACK,RECOVERED,75,False,READY,READY,300,305,300,LOCAL_FORENSIC_BUFFER,True,False,False
C06_HV_CONTACTOR_ATTACK,CONNECTED,285,False,NOT_REQUIRED,NOT_REQUIRED,300,305,300,LOCAL_FORENSIC_BUFFER,True,False,False
C06_HV_CONTACTOR_ATTACK,DISCONNECTED,105,True,DEFERRED,DEFERRED,300,305,300,LOCAL_FORENSIC_BUFFER,True,False,False
C06_HV_CONTACTOR_ATTACK,RECOVERED,75,False,READY,READY,300,305,300,LOCAL_FORENSIC_BUFFER,True,False,False
C07_HEARTBEAT_INTEGRITY_ATTACK,CONNECTED,285,False,NOT_REQUIRED,NOT_REQUIRED,300,305,300,LOCAL_FORENSIC_BUFFER,True,False,False
C07_HEARTBEAT_INTEGRITY_ATTACK,DISCONNECTED,105,True,DEFERRED,DEFERRED,300,305,300,LOCAL_FORENSIC_BUFFER,True,False,False
C07_HEARTBEAT_INTEGRITY_ATTACK,RECOVERED,75,False,READY,READY,300,305,300,LOCAL_FORENSIC_BUFFER,True,False,False
C08_SEQUENCE_GATEWAY_ATTACK,CONNECTED,285,False,NOT_REQUIRED,NOT_REQUIRED,300,305,300,LOCAL_FORENSIC_BUFFER,True,False,False
C08_SEQUENCE_GATEWAY_ATTACK,DISCONNECTED,105,True,DEFERRED,DEFERRED,300,305,300,LOCAL_FORENSIC_BUFFER,True,False,False
C08_SEQUENCE_GATEWAY_ATTACK,RECOVERED,75,False,READY,READY,300,305,300,LOCAL_FORENSIC_BUFFER,True,False,False
C09_RESTRAINT_DOMAIN_ATTACK,CONNECTED,285,False,NOT_REQUIRED,NOT_REQUIRED,300,305,300,LOCAL_FORENSIC_BUFFER,True,False,False
C09_RESTRAINT_DOMAIN_ATTACK,DISCONNECTED,105,True,DEFERRED,DEFERRED,300,305,300,LOCAL_FORENSIC_BUFFER,True,False,False
C09_RESTRAINT_DOMAIN_ATTACK,RECOVERED,75,False,READY,READY,300,305,300,LOCAL_FORENSIC_BUFFER,True,False,False
C10_MULTI_DOMAIN_ATTACK,CONNECTED,285,False,NOT_REQUIRED,NOT_REQUIRED,300,305,300,LOCAL_FORENSIC_BUFFER,True,False,False
C10_MULTI_DOMAIN_ATTACK,DISCONNECTED,105,True,DEFERRED,DEFERRED,300,305,300,LOCAL_FORENSIC_BUFFER,True,False,False
C10_MULTI_DOMAIN_ATTACK,RECOVERED,75,False,READY,READY,300,305,300,LOCAL_FORENSIC_BUFFER,True,False,False
