scenario_id,source_records,state_rows,connectivity_states,connected_state_present,disconnected_state_present,recovered_state_present,state_coverage_valid,recovery_synchronization_present,recovered_rows_ready,soc_handoff_present,synchronization_state,soc_state,synchronization_digest,integration_mode,laboratory_generated,physical_vehicle,direct_actuation,model_retraining,live_cortex_xdr,real_world_cyberattack
C01_SPEED_SENSOR_SPOOFING,285,3,CONNECTED|DISCONNECTED|RECOVERED,True,True,True,True,True,True,True,SYNCHRONIZATION_ELIGIBLE,SOC_HANDOFF_ELIGIBLE,67018f0eddc139a758eb14017c391ed3c5c09eb144ff2078f5fe0368d2f7d1a6,ABSTRACTION_ONLY,True,False,False,False,False,False
C02_BRAKE_ACCELERATOR_ATTACK,285,3,CONNECTED|DISCONNECTED|RECOVERED,True,True,True,True,True,True,True,SYNCHRONIZATION_ELIGIBLE,SOC_HANDOFF_ELIGIBLE,6f8d88f8619bb29af88dcc5198d7d8545345d294db3444f214e826fee2e9f1d6,ABSTRACTION_ONLY,True,False,False,False,False,False
C03_TORQUE_DYNAMICS_ATTACK,285,3,CONNECTED|DISCONNECTED|RECOVERED,True,True,True,True,True,True,True,SYNCHRONIZATION_ELIGIBLE,SOC_HANDOFF_ELIGIBLE,1f9ef79da1f35825523852dbebef36d854e972b3e4bef8c76ef4a7c00cb2491b,ABSTRACTION_ONLY,True,False,False,False,False,False
C04_HV_POWER_ATTACK,285,3,CONNECTED|DISCONNECTED|RECOVERED,True,True,True,True,True,True,True,SYNCHRONIZATION_ELIGIBLE,SOC_HANDOFF_ELIGIBLE,b38080bbb667547e64ad9bde6c86bcd5e3654073fbfeacd8f6bd661925f6cf6c,ABSTRACTION_ONLY,True,False,False,False,False,False
C05_BATTERY_THERMAL_ATTACK,285,3,CONNECTED|DISCONNECTED|RECOVERED,True,True,True,True,True,True,True,SYNCHRONIZATION_ELIGIBLE,SOC_HANDOFF_ELIGIBLE,7cb832d621ee469c988dade0ac24836b5bb37d279c557eb1fe0cdfb41534211f,ABSTRACTION_ONLY,True,False,False,False,False,False
C06_HV_CONTACTOR_ATTACK,285,3,CONNECTED|DISCONNECTED|RECOVERED,True,True,True,True,True,True,True,SYNCHRONIZATION_ELIGIBLE,SOC_HANDOFF_ELIGIBLE,df7d2ce8bf182360cde51c00866ca8636a45c783e3184067e9850e6e4a1546b5,ABSTRACTION_ONLY,True,False,False,False,False,False
C07_HEARTBEAT_INTEGRITY_ATTACK,285,3,CONNECTED|DISCONNECTED|RECOVERED,True,True,True,True,True,True,True,SYNCHRONIZATION_ELIGIBLE,SOC_HANDOFF_ELIGIBLE,6ce3a3325bd8577545e35ffaf2ce0ee7c4843c24b93ddd50a98a938be2d8b61e,ABSTRACTION_ONLY,True,False,False,False,False,False
C08_SEQUENCE_GATEWAY_ATTACK,285,3,CONNECTED|DISCONNECTED|RECOVERED,True,True,True,True,True,True,True,SYNCHRONIZATION_ELIGIBLE,SOC_HANDOFF_ELIGIBLE,a787f6f39a36d38269c0337b94020335e4a8e1fe2b3f659f9ee02ce6c4e0744f,ABSTRACTION_ONLY,True,False,False,False,False,False
C09_RESTRAINT_DOMAIN_ATTACK,285,3,CONNECTED|DISCONNECTED|RECOVERED,True,True,True,True,True,True,True,SYNCHRONIZATION_ELIGIBLE,SOC_HANDOFF_ELIGIBLE,a1bb29f1b005ec09f842a48fe916ef5d149827b99c0f8f3e3db06c680fd98108,ABSTRACTION_ONLY,True,False,False,False,False,False
C10_MULTI_DOMAIN_ATTACK,285,3,CONNECTED|DISCONNECTED|RECOVERED,True,True,True,True,True,True,True,SYNCHRONIZATION_ELIGIBLE,SOC_HANDOFF_ELIGIBLE,fffc9c04f7d607c1405a35f113742a11097113ee70622363029ff07f5e860d7f,ABSTRACTION_ONLY,True,False,False,False,False,False
