scenario_id,recovery_valid,synchronization_valid,soc_handoff_valid,baseline_integrity_valid,tampered_evidence_rejected,tampered_synchronization_refused,tampered_soc_handoff_refused,adversarial_resilience_valid,safety_boundary_valid,end_to_end_valid,recovery_score,synchronization_score,soc_handoff_score,integrity_score,adversarial_score,safety_score,resilience_score_percent,scorecard_valid,end_to_end_chain,source_evidence_digest,scorecard_evidence_digest,laboratory_simulation,physical_vehicle,direct_vehicle_actuation,live_cortex_xdr,model_retraining,real_world_cyberattack
C01_SPEED_SENSOR_SPOOFING,True,True,True,True,True,True,True,True,True,True,1,1,1,1,1,1,100.0,True,CONNECTED -> DISCONNECTED -> RECOVERED -> SYNCHRONIZATION_ELIGIBLE -> SOC_HANDOFF_ELIGIBLE,6b93f36eeae07d697a4cb475f906ccf3dd0864408b3ca4a475ee5d17bfbd56f4,7576cf52434a184e7be95c5af1dd5a8facf33b811831ebcf2e8b6c12c44a69f1,True,False,False,False,False,False
C02_BRAKE_ACCELERATOR_ATTACK,True,True,True,True,True,True,True,True,True,True,1,1,1,1,1,1,100.0,True,CONNECTED -> DISCONNECTED -> RECOVERED -> SYNCHRONIZATION_ELIGIBLE -> SOC_HANDOFF_ELIGIBLE,7340e1eae96ccd002e2620deb94458744128521005c7260f38a56f059c3fb370,c028f25d974d32e2bc59f14065b16bc447916389c4bdd78fa72857c4a2cd4946,True,False,False,False,False,False
C03_TORQUE_DYNAMICS_ATTACK,True,True,True,True,True,True,True,True,True,True,1,1,1,1,1,1,100.0,True,CONNECTED -> DISCONNECTED -> RECOVERED -> SYNCHRONIZATION_ELIGIBLE -> SOC_HANDOFF_ELIGIBLE,f81a047f37b9fbbf3bd11bce18667b06795ddac32d62650e952a44407ad14fdf,e5e73663bd9db0b2fcc70c552fe295818fee8b50a8ed67fcd7703b3f32b57890,True,False,False,False,False,False
C04_HV_POWER_ATTACK,True,True,True,True,True,True,True,True,True,True,1,1,1,1,1,1,100.0,True,CONNECTED -> DISCONNECTED -> RECOVERED -> SYNCHRONIZATION_ELIGIBLE -> SOC_HANDOFF_ELIGIBLE,436a76ff3be294ee0d8d36729366f232f1efc1ca01b4d1c024f2399aff9bc74f,28b0f3d8773506c6d33936f46c9241225a2a4811643b8a6d151ea87c740e16ab,True,False,False,False,False,False
C05_BATTERY_THERMAL_ATTACK,True,True,True,True,True,True,True,True,True,True,1,1,1,1,1,1,100.0,True,CONNECTED -> DISCONNECTED -> RECOVERED -> SYNCHRONIZATION_ELIGIBLE -> SOC_HANDOFF_ELIGIBLE,16417aa742bca6e536b9241d39aedfd0a2e7308fe49e8a26bba842592d87c20f,430647612937f63dea0a1b4147e2a92d8260fbec1cc8a34fad77b712bbf107fc,True,False,False,False,False,False
C06_HV_CONTACTOR_ATTACK,True,True,True,True,True,True,True,True,True,True,1,1,1,1,1,1,100.0,True,CONNECTED -> DISCONNECTED -> RECOVERED -> SYNCHRONIZATION_ELIGIBLE -> SOC_HANDOFF_ELIGIBLE,1e986bf89f9c122ae2b6b668d9b22b9fab340de3c23d5f6aee52438001ab121b,556fab454fdcee276cd1241a366c136976b74e47c80fde00b8808db561471cef,True,False,False,False,False,False
C07_HEARTBEAT_INTEGRITY_ATTACK,True,True,True,True,True,True,True,True,True,True,1,1,1,1,1,1,100.0,True,CONNECTED -> DISCONNECTED -> RECOVERED -> SYNCHRONIZATION_ELIGIBLE -> SOC_HANDOFF_ELIGIBLE,ff492568c401c0b083d2ff6a982f84c32da15addaf74f3ee6b2af139d643d5e8,e0aee2bb955b62654afbb12f3b84d31464b96f377977a45cad5dd61579d54876,True,False,False,False,False,False
C08_SEQUENCE_GATEWAY_ATTACK,True,True,True,True,True,True,True,True,True,True,1,1,1,1,1,1,100.0,True,CONNECTED -> DISCONNECTED -> RECOVERED -> SYNCHRONIZATION_ELIGIBLE -> SOC_HANDOFF_ELIGIBLE,e912995a8893bf12b8cb6872dbaf2a2bed3b95e6b3072b6109268b2702d8d6bf,0b1d66b4768e75e93c8bac361db01d14ae743291f21774f06b63b66f11cf1299,True,False,False,False,False,False
C09_RESTRAINT_DOMAIN_ATTACK,True,True,True,True,True,True,True,True,True,True,1,1,1,1,1,1,100.0,True,CONNECTED -> DISCONNECTED -> RECOVERED -> SYNCHRONIZATION_ELIGIBLE -> SOC_HANDOFF_ELIGIBLE,0e117cd3370a0cc74f0fb7b10fc2d2bbca8a0631c321a312428fb53ecb05326f,6e86c459e719e42663384533233756025304db33e84a4dd98943199d697e6af4,True,False,False,False,False,False
C10_MULTI_DOMAIN_ATTACK,True,True,True,True,True,True,True,True,True,True,1,1,1,1,1,1,100.0,True,CONNECTED -> DISCONNECTED -> RECOVERED -> SYNCHRONIZATION_ELIGIBLE -> SOC_HANDOFF_ELIGIBLE,2ff77537c359737a6151f9cf3e2c9ef5defdda8dae784178feca3b5859b01e62,a883a95b10858cd7d65eef9b196f5147848c4e6d601b213006dd521ee5cd2ac3,True,False,False,False,False,False
