scenario_id,recovery,synchronization,soc_handoff,baseline_integrity,adversarial_resilience,safety_boundary,recovery_score,synchronization_score,soc_handoff_score,integrity_score,adversarial_score,safety_score,failed_component_count,failed_components,all_components_valid,end_to_end_valid,scorecard_valid,resilience_score_percent,evidence_complete,safety_boundary_revalidated,end_to_end_chain,source_evidence_digest,scorecard_evidence_digest,matrix_evidence_digest,laboratory_simulation,physical_vehicle,direct_vehicle_actuation,live_cortex_xdr,model_retraining,real_world_cyberattack
C01_SPEED_SENSOR_SPOOFING,True,True,True,True,True,True,1,1,1,1,1,1,0,NONE,True,True,True,100.0,True,True,CONNECTED -> DISCONNECTED -> RECOVERED -> SYNCHRONIZATION_ELIGIBLE -> SOC_HANDOFF_ELIGIBLE,6b93f36eeae07d697a4cb475f906ccf3dd0864408b3ca4a475ee5d17bfbd56f4,7576cf52434a184e7be95c5af1dd5a8facf33b811831ebcf2e8b6c12c44a69f1,0ce74866552be38b1ea5d6029c0884692b0a2248ff4cc6fac8e7c16b7b399ac6,True,False,False,False,False,False
C02_BRAKE_ACCELERATOR_ATTACK,True,True,True,True,True,True,1,1,1,1,1,1,0,NONE,True,True,True,100.0,True,True,CONNECTED -> DISCONNECTED -> RECOVERED -> SYNCHRONIZATION_ELIGIBLE -> SOC_HANDOFF_ELIGIBLE,7340e1eae96ccd002e2620deb94458744128521005c7260f38a56f059c3fb370,c028f25d974d32e2bc59f14065b16bc447916389c4bdd78fa72857c4a2cd4946,0ef36eda95acffe27a101c550b7f66cb6d65c47e903c71bd31cbd05c4adb07d6,True,False,False,False,False,False
C03_TORQUE_DYNAMICS_ATTACK,True,True,True,True,True,True,1,1,1,1,1,1,0,NONE,True,True,True,100.0,True,True,CONNECTED -> DISCONNECTED -> RECOVERED -> SYNCHRONIZATION_ELIGIBLE -> SOC_HANDOFF_ELIGIBLE,f81a047f37b9fbbf3bd11bce18667b06795ddac32d62650e952a44407ad14fdf,e5e73663bd9db0b2fcc70c552fe295818fee8b50a8ed67fcd7703b3f32b57890,1a96685b4497b616886c9a759e4d77d3ccdd39d4cc7a4ac929cbdaae7e405e40,True,False,False,False,False,False
C04_HV_POWER_ATTACK,True,True,True,True,True,True,1,1,1,1,1,1,0,NONE,True,True,True,100.0,True,True,CONNECTED -> DISCONNECTED -> RECOVERED -> SYNCHRONIZATION_ELIGIBLE -> SOC_HANDOFF_ELIGIBLE,436a76ff3be294ee0d8d36729366f232f1efc1ca01b4d1c024f2399aff9bc74f,28b0f3d8773506c6d33936f46c9241225a2a4811643b8a6d151ea87c740e16ab,d01714b4c5a9c2593de7d959abc0278f776946e589917bcb4531990452fa1295,True,False,False,False,False,False
C05_BATTERY_THERMAL_ATTACK,True,True,True,True,True,True,1,1,1,1,1,1,0,NONE,True,True,True,100.0,True,True,CONNECTED -> DISCONNECTED -> RECOVERED -> SYNCHRONIZATION_ELIGIBLE -> SOC_HANDOFF_ELIGIBLE,16417aa742bca6e536b9241d39aedfd0a2e7308fe49e8a26bba842592d87c20f,430647612937f63dea0a1b4147e2a92d8260fbec1cc8a34fad77b712bbf107fc,645807316171535eddda095d99f2bc6982136cd085a676f73e63a9baf42241d7,True,False,False,False,False,False
C06_HV_CONTACTOR_ATTACK,True,True,True,True,True,True,1,1,1,1,1,1,0,NONE,True,True,True,100.0,True,True,CONNECTED -> DISCONNECTED -> RECOVERED -> SYNCHRONIZATION_ELIGIBLE -> SOC_HANDOFF_ELIGIBLE,1e986bf89f9c122ae2b6b668d9b22b9fab340de3c23d5f6aee52438001ab121b,556fab454fdcee276cd1241a366c136976b74e47c80fde00b8808db561471cef,41386b0ffe8b4d3afa8b30cc0d566e6900f343937958c31668b3cf4eb96e4010,True,False,False,False,False,False
C07_HEARTBEAT_INTEGRITY_ATTACK,True,True,True,True,True,True,1,1,1,1,1,1,0,NONE,True,True,True,100.0,True,True,CONNECTED -> DISCONNECTED -> RECOVERED -> SYNCHRONIZATION_ELIGIBLE -> SOC_HANDOFF_ELIGIBLE,ff492568c401c0b083d2ff6a982f84c32da15addaf74f3ee6b2af139d643d5e8,e0aee2bb955b62654afbb12f3b84d31464b96f377977a45cad5dd61579d54876,9544cd8cd3fb2c5df87a69ded122617952fd426d0e505517971db0ce6e199e00,True,False,False,False,False,False
C08_SEQUENCE_GATEWAY_ATTACK,True,True,True,True,True,True,1,1,1,1,1,1,0,NONE,True,True,True,100.0,True,True,CONNECTED -> DISCONNECTED -> RECOVERED -> SYNCHRONIZATION_ELIGIBLE -> SOC_HANDOFF_ELIGIBLE,e912995a8893bf12b8cb6872dbaf2a2bed3b95e6b3072b6109268b2702d8d6bf,0b1d66b4768e75e93c8bac361db01d14ae743291f21774f06b63b66f11cf1299,01eb63a677b8ec71348ec2f11ce71a59bfd5113a773a9943723f3ea39dff0b8a,True,False,False,False,False,False
C09_RESTRAINT_DOMAIN_ATTACK,True,True,True,True,True,True,1,1,1,1,1,1,0,NONE,True,True,True,100.0,True,True,CONNECTED -> DISCONNECTED -> RECOVERED -> SYNCHRONIZATION_ELIGIBLE -> SOC_HANDOFF_ELIGIBLE,0e117cd3370a0cc74f0fb7b10fc2d2bbca8a0631c321a312428fb53ecb05326f,6e86c459e719e42663384533233756025304db33e84a4dd98943199d697e6af4,054a29d4c4b871c76fb6b807c0f73d0a535599db6396649f6ce22f7d62c8b7a4,True,False,False,False,False,False
C10_MULTI_DOMAIN_ATTACK,True,True,True,True,True,True,1,1,1,1,1,1,0,NONE,True,True,True,100.0,True,True,CONNECTED -> DISCONNECTED -> RECOVERED -> SYNCHRONIZATION_ELIGIBLE -> SOC_HANDOFF_ELIGIBLE,2ff77537c359737a6151f9cf3e2c9ef5defdda8dae784178feca3b5859b01e62,a883a95b10858cd7d65eef9b196f5147848c4e6d601b213006dd521ee5cd2ac3,230d3b898fac52eaee181b568830f7e6fccb0d9f12f5676d94e7780e79ffb711,True,False,False,False,False,False
