timestamp_s,step,vehicle_id,scenario,VehicleSpeed,WheelSpeedFL,WheelSpeedFR,SteeringAngle,Accelerator,BrakePressure,BrakeStatus,RegenCommand,VCUState,MotorRPM,HVVoltage,HVCurrent,BatteryTemperature,CellVoltageDeviation,CellTemperatureDeviation,BMSState,PrechargeState,InverterTemperature,ChargingState,CrashEventStatus,ImpactSeverity,RolloverStatus,LongitudinalAcceleration,LateralAcceleration,YawRate,VCUHeartbeat,BMSHeartbeat,InverterHeartbeat,GatewayHeartbeat,DiagnosticState,wheel_speed_mean,speed_wheel_speed_error,estimated_hv_power_kw,battery_temperature_abs,cell_voltage_deviation_abs,cell_temperature_deviation_abs,steering_yaw_joint_magnitude,can_frame_interval_s,laboratory_generated,physical_vehicle,direct_actuation,TorqueCommand,RegenAvailable,SOC,SOH,IsolationStatus,ContactorState,TorqueFeedback,MotorTemperature,InverterState,SequenceCounter,ConnectorState,ChargeCurrent,IntegrityStatus,GatewayIntegrity,AuxBatteryVoltage,AuxBatteryStatus,DriverSeatbelt,PassengerSeatbelt,DriverPretensioner,PassengerPretensioner,RestraintDiagnostic,RestraintIntegrity,RestraintSequence,DriverAirbag,PassengerAirbag,SideAirbag,CurtainAirbag,DriverOccupant,PassengerOccupant,DriverPosition,PassengerPosition,RCMHeartbeat,OccupantSensorHeartbeat,RestraintGatewayHeartbeat,RestraintSequenceCounter
0.0,0,EV-LAB-001,NORMAL_BASELINE,60.0,60.24,59.79,0.0,32.0,0.0,0.0,4.800000000000001,2.0,3300.0,398.8,79.7,30.0,0.012,2.0,2.0,2.0,65.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,60.015,0.015000000000000568,31.78436,30.0,0.012,2.0,0.0,0.05,True,False,False,114.30000000000001,1.0,80.0,98.0,1.0,1.0,112.0,77.0,2.0,0.0,0.0,0.0,1.0,1.0,12.6,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0,50.0,1.0,1.0,1.0,0.0
0.05,1,EV-LAB-001,NORMAL_BASELINE,60.160000000000004,60.35,59.88,0.1,32.0,0.0,0.0,4.800000000000001,2.0,3309.0,398.8,78.7,30.0,0.013000000000000001,2.1,2.0,2.0,65.0,0.0,0.0,0.0,0.0,0.32,0.0,0.1,1.0,1.0,1.0,1.0,0.0,60.115,0.045000000000001705,31.38556,30.0,0.013000000000000001,2.1,0.2,0.05,True,False,False,114.60000000000001,1.0,80.0,98.0,1.0,1.0,114.4,76.0,2.0,1.0,0.0,0.0,1.0,1.0,12.61,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0,50.0,1.0,1.0,1.0,1.0
0.1,2,EV-LAB-001,NORMAL_BASELINE,60.32,60.63,60.03,0.2,30.0,0.0,0.0,4.800000000000001,2.0,3317.0,398.3,79.4,30.0,0.01,2.1,2.0,2.0,65.0,0.0,0.0,0.0,0.0,0.32,0.0,0.1,1.0,1.0,1.0,1.0,0.0,60.33,0.00999999999999801,31.625020000000003,30.0,0.01,2.1,0.30000000000000004,0.05,True,False,False,112.10000000000001,1.0,80.0,98.0,1.0,1.0,111.2,76.0,2.0,2.0,0.0,0.0,1.0,1.0,12.59,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0,50.0,1.0,1.0,1.0,2.0
0.15,3,EV-LAB-001,NORMAL_BASELINE,60.480000000000004,60.74,60.34,0.30000000000000004,32.800000000000004,0.0,0.0,4.800000000000001,2.0,3326.0,398.40000000000003,80.10000000000001,30.0,0.013000000000000001,2.0,2.0,2.0,65.0,0.0,0.0,0.0,0.0,0.32,0.0,0.30000000000000004,1.0,1.0,1.0,1.0,0.0,60.540000000000006,0.060000000000002274,31.91184000000001,30.0,0.013000000000000001,2.0,0.6000000000000001,0.05,True,False,False,115.4,1.0,80.0,98.0,1.0,1.0,116.10000000000001,78.0,2.0,3.0,0.0,0.0,1.0,1.0,12.56,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0,50.0,1.0,1.0,1.0,3.0
0.2,4,EV-LAB-001,NORMAL_BASELINE,60.63,60.95,60.550000000000004,0.4,33.6,0.0,0.0,4.800000000000001,2.0,3335.0,398.0,80.80000000000001,31.0,0.009000000000000001,2.0,2.0,2.0,65.0,0.0,0.0,0.0,0.0,0.32,0.0,0.4,1.0,1.0,1.0,1.0,0.0,60.75,0.11999999999999744,32.15840000000001,31.0,0.009000000000000001,2.0,0.8,0.05,True,False,False,116.2,1.0,80.0,98.0,1.0,1.0,116.10000000000001,77.0,2.0,4.0,0.0,0.0,1.0,1.0,12.63,1.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0,50.0,1.0,1.0,1.0,4.0
0.25,5,EV-LAB-001,NORMAL_BASELINE,60.79,61.09,60.78,0.5,32.0,0.0,0.0,4.800000000000001,2.0,3344.0,399.0,79.60000000000001,30.0,0.013000000000000001,1.9000000000000001,2.0,2.0,64.0,0.0,0.0,0.0,0.0,0.32,0.0,0.4,1.0,1.0,1.0,1.0,0.0,60.935,0.14500000000000313,31.760400000000004,30.0,0.013000000000000001,1.9000000000000001,0.9,0.05,True,False,False,114.5,1.0,80.0,98.0,1.0,1.0,113.2,77.0,2.0,5.0,0.0,0.0,1.0,1.0,12.56,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0,50.0,1.0,1.0,1.0,5.0
0.3,6,EV-LAB-001,NORMAL_BASELINE,60.95,61.160000000000004,60.78,0.6000000000000001,32.800000000000004,0.0,0.0,4.800000000000001,2.0,3352.0,399.0,81.7,31.0,0.01,2.1,2.0,2.0,66.0,0.0,0.0,0.0,0.0,0.32,0.0,0.5,1.0,1.0,1.0,1.0,0.0,60.97,0.01999999999999602,32.5983,31.0,0.01,2.1,1.1,0.05,True,False,False,115.4,1.0,80.0,98.0,1.0,1.0,115.60000000000001,77.0,2.0,6.0,0.0,0.0,1.0,1.0,12.6,1.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0,50.0,1.0,1.0,1.0,6.0
0.35,7,EV-LAB-001,NORMAL_BASELINE,61.11,61.51,60.88,0.7000000000000001,32.4,0.0,0.0,4.800000000000001,2.0,3361.0,398.6,81.7,31.0,0.013000000000000001,1.6,2.0,2.0,65.0,0.0,0.0,0.0,0.0,0.32,0.01,0.6000000000000001,1.0,1.0,1.0,1.0,0.0,61.195,0.08500000000000085,32.56562,31.0,0.013000000000000001,1.6,1.3000000000000003,0.05,True,False,False,114.7,1.0,80.0,98.0,1.0,1.0,113.10000000000001,77.0,2.0,7.0,0.0,0.0,1.0,1.0,12.58,1.0,1.0,1.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0,50.0,1.0,1.0,1.0,7.0
0.4,8,EV-LAB-001,NORMAL_BASELINE,61.26,61.46,61.06,0.8,32.4,0.0,0.0,4.800000000000001,2.0,3370.0,398.40000000000003,80.10000000000001,30.0,0.01,2.0,2.0,2.0,66.0,0.0,0.0,0.0,0.0,0.32,0.01,0.6000000000000001,1.0,1.0,1.0,1.0,0.0,61.260000000000005,7.105427357601002e-15,31.91184000000001,30.0,0.01,2.0,1.4000000000000001,0.05,True,False,False,114.9,1.0,80.0,98.0,1.0,1.0,117.0,76.0,2.0,8.0,0.0,0.0,1.0,1.0,12.6,1.0,1.0,1.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0,50.0,1.0,1.0,1.0,8.0
0.45,9,EV-LAB-001,NORMAL_BASELINE,61.42,61.85,61.24,0.9,32.800000000000004,0.0,0.0,4.800000000000001,2.0,3378.0,399.3,79.10000000000001,31.0,0.013000000000000001,2.2,2.0,2.0,65.0,0.0,0.0,0.0,0.0,0.32,0.01,0.7000000000000001,1.0,1.0,1.0,1.0,0.0,61.545,0.125,31.584630000000004,31.0,0.013000000000000001,2.2,1.6,0.05,True,False,False,115.4,1.0,80.0,98.0,1.0,1.0,115.80000000000001,77.0,2.0,9.0,0.0,0.0,1.0,1.0,12.58,1.0,1.0,1.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0,50.0,1.0,1.0,1.0,9.0
