timestamp_s,hmi_safety_state,driver_seatbelt,passenger_seatbelt,driver_occupant,passenger_occupant,driver_airbag,passenger_airbag,side_airbag,curtain_airbag,restraint_integrity,restraint_diagnostic,rcm_heartbeat,occupant_sensor_heartbeat,gateway_heartbeat,restraint_sequence,scenario,connectivity_state,forensic_state,synchronization_state,soc_handoff_state,laboratory_generated,physical_vehicle,direct_actuation
0.0,NORMAL,1,1,1,1,0,0,0,0,1,0,1,1,1,0,NORMAL_BASELINE,CONNECTED,CONNECTED_STREAM,NOT_REQUIRED,NOT_REQUIRED,True,False,False
0.05,NORMAL,1,1,1,1,0,0,0,0,1,0,1,1,1,1,NORMAL_BASELINE,CONNECTED,CONNECTED_STREAM,NOT_REQUIRED,NOT_REQUIRED,True,False,False
0.1,NORMAL,1,1,1,1,0,0,0,0,1,0,1,1,1,2,NORMAL_BASELINE,CONNECTED,CONNECTED_STREAM,NOT_REQUIRED,NOT_REQUIRED,True,False,False
0.15,NORMAL,1,1,1,1,0,0,0,0,1,0,1,1,1,3,NORMAL_BASELINE,CONNECTED,CONNECTED_STREAM,NOT_REQUIRED,NOT_REQUIRED,True,False,False
0.2,NORMAL,1,1,1,1,0,0,0,0,1,0,1,1,1,4,NORMAL_BASELINE,CONNECTED,CONNECTED_STREAM,NOT_REQUIRED,NOT_REQUIRED,True,False,False
0.25,NORMAL,1,1,1,1,0,0,0,0,1,0,1,1,1,5,NORMAL_BASELINE,CONNECTED,CONNECTED_STREAM,NOT_REQUIRED,NOT_REQUIRED,True,False,False
0.3,NORMAL,1,1,1,1,0,0,0,0,1,0,1,1,1,6,NORMAL_BASELINE,CONNECTED,CONNECTED_STREAM,NOT_REQUIRED,NOT_REQUIRED,True,False,False
0.35,NORMAL,1,1,1,1,0,0,0,0,1,0,1,1,1,7,NORMAL_BASELINE,CONNECTED,CONNECTED_STREAM,NOT_REQUIRED,NOT_REQUIRED,True,False,False
0.4,NORMAL,1,1,1,1,0,0,0,0,1,0,1,1,1,8,NORMAL_BASELINE,CONNECTED,CONNECTED_STREAM,NOT_REQUIRED,NOT_REQUIRED,True,False,False
0.45,NORMAL,1,1,1,1,0,0,0,0,1,0,1,1,1,9,NORMAL_BASELINE,CONNECTED,CONNECTED_STREAM,NOT_REQUIRED,NOT_REQUIRED,True,False,False
0.5,NORMAL,1,1,1,1,0,0,0,0,1,0,1,1,1,10,NORMAL_BASELINE,CONNECTED,CONNECTED_STREAM,NOT_REQUIRED,NOT_REQUIRED,True,False,False
0.55,NORMAL,1,1,1,1,0,0,0,0,1,0,1,1,1,11,NORMAL_BASELINE,CONNECTED,CONNECTED_STREAM,NOT_REQUIRED,NOT_REQUIRED,True,False,False
0.6,NORMAL,1,1,1,1,0,0,0,0,1,0,1,1,1,12,NORMAL_BASELINE,CONNECTED,CONNECTED_STREAM,NOT_REQUIRED,NOT_REQUIRED,True,False,False
0.65,NORMAL,1,1,1,1,0,0,0,0,1,0,1,1,1,13,NORMAL_BASELINE,CONNECTED,CONNECTED_STREAM,NOT_REQUIRED,NOT_REQUIRED,True,False,False
0.7,NORMAL,1,1,1,1,0,0,0,0,1,0,1,1,1,14,NORMAL_BASELINE,CONNECTED,CONNECTED_STREAM,NOT_REQUIRED,NOT_REQUIRED,True,False,False
0.75,NORMAL,1,1,1,1,0,0,0,0,1,0,1,1,1,15,NORMAL_BASELINE,CONNECTED,CONNECTED_STREAM,NOT_REQUIRED,NOT_REQUIRED,True,False,False
0.8,NORMAL,1,1,1,1,0,0,0,0,1,0,1,1,1,16,NORMAL_BASELINE,CONNECTED,CONNECTED_STREAM,NOT_REQUIRED,NOT_REQUIRED,True,False,False
0.85,NORMAL,1,1,1,1,0,0,0,0,1,0,1,1,1,17,NORMAL_BASELINE,CONNECTED,CONNECTED_STREAM,NOT_REQUIRED,NOT_REQUIRED,True,False,False
0.9,NORMAL,1,1,1,1,0,0,0,0,1,0,1,1,1,18,NORMAL_BASELINE,CONNECTED,CONNECTED_STREAM,NOT_REQUIRED,NOT_REQUIRED,True,False,False
0.95,NORMAL,1,1,1,1,0,0,0,0,1,0,1,1,1,19,NORMAL_BASELINE,CONNECTED,CONNECTED_STREAM,NOT_REQUIRED,NOT_REQUIRED,True,False,False
1.0,NORMAL,1,1,1,1,0,0,0,0,1,0,1,1,1,20,NORMAL_BASELINE,CONNECTED,CONNECTED_STREAM,NOT_REQUIRED,NOT_REQUIRED,True,False,False
1.05,NORMAL,1,1,1,1,0,0,0,0,1,0,1,1,1,21,NORMAL_BASELINE,CONNECTED,CONNECTED_STREAM,NOT_REQUIRED,NOT_REQUIRED,True,False,False
1.1,NORMAL,1,1,1,1,0,0,0,0,1,0,1,1,1,22,NORMAL_BASELINE,CONNECTED,CONNECTED_STREAM,NOT_REQUIRED,NOT_REQUIRED,True,False,False
1.15,NORMAL,1,1,1,1,0,0,0,0,1,0,1,1,1,23,NORMAL_BASELINE,CONNECTED,CONNECTED_STREAM,NOT_REQUIRED,NOT_REQUIRED,True,False,False
1.2,NORMAL,1,1,1,1,0,0,0,0,1,0,1,1,1,24,NORMAL_BASELINE,CONNECTED,CONNECTED_STREAM,NOT_REQUIRED,NOT_REQUIRED,True,False,False
1.25,NORMAL,1,1,1,1,0,0,0,0,1,0,1,1,1,25,NORMAL_BASELINE,CONNECTED,CONNECTED_STREAM,NOT_REQUIRED,NOT_REQUIRED,True,False,False
1.3,NORMAL,1,1,1,1,0,0,0,0,1,0,1,1,1,26,NORMAL_BASELINE,CONNECTED,CONNECTED_STREAM,NOT_REQUIRED,NOT_REQUIRED,True,False,False
1.35,NORMAL,1,1,1,1,0,0,0,0,1,0,1,1,1,27,NORMAL_BASELINE,CONNECTED,CONNECTED_STREAM,NOT_REQUIRED,NOT_REQUIRED,True,False,False
1.4,NORMAL,1,1,1,1,0,0,0,0,1,0,1,1,1,28,NORMAL_BASELINE,CONNECTED,CONNECTED_STREAM,NOT_REQUIRED,NOT_REQUIRED,True,False,False
1.45,NORMAL,1,1,1,1,0,0,0,0,1,0,1,1,1,29,NORMAL_BASELINE,CONNECTED,CONNECTED_STREAM,NOT_REQUIRED,NOT_REQUIRED,True,False,False
1.5,NORMAL,1,1,1,1,0,0,0,0,1,0,1,1,1,30,NORMAL_BASELINE,CONNECTED,CONNECTED_STREAM,NOT_REQUIRED,NOT_REQUIRED,True,False,False
1.55,NORMAL,1,1,1,1,0,0,0,0,1,0,1,1,1,31,NORMAL_BASELINE,CONNECTED,CONNECTED_STREAM,NOT_REQUIRED,NOT_REQUIRED,True,False,False
1.6,NORMAL,1,1,1,1,0,0,0,0,1,0,1,1,1,32,NORMAL_BASELINE,CONNECTED,CONNECTED_STREAM,NOT_REQUIRED,NOT_REQUIRED,True,False,False
1.65,NORMAL,1,1,1,1,0,0,0,0,1,0,1,1,1,33,NORMAL_BASELINE,CONNECTED,CONNECTED_STREAM,NOT_REQUIRED,NOT_REQUIRED,True,False,False
1.7,NORMAL,1,1,1,1,0,0,0,0,1,0,1,1,1,34,NORMAL_BASELINE,CONNECTED,CONNECTED_STREAM,NOT_REQUIRED,NOT_REQUIRED,True,False,False
1.75,NORMAL,1,1,1,1,0,0,0,0,1,0,1,1,1,35,NORMAL_BASELINE,CONNECTED,CONNECTED_STREAM,NOT_REQUIRED,NOT_REQUIRED,True,False,False
1.8,NORMAL,1,1,1,1,0,0,0,0,1,0,1,1,1,36,NORMAL_BASELINE,CONNECTED,CONNECTED_STREAM,NOT_REQUIRED,NOT_REQUIRED,True,False,False
1.85,NORMAL,1,1,1,1,0,0,0,0,1,0,1,1,1,37,NORMAL_BASELINE,CONNECTED,CONNECTED_STREAM,NOT_REQUIRED,NOT_REQUIRED,True,False,False
