scenario_id,connectivity_state,hmi_status,hmi_message,forensic_state,synchronization_state,soc_handoff_state,records,local_preservation,disconnect_start,disconnect_end,event_timestep,evidence_source,laboratory_generated,physical_vehicle,direct_actuation
C01_SPEED_SENSOR_SPOOFING,CONNECTED,NORMAL,Safety telemetry connected.,CONNECTED_STREAM,NOT_REQUIRED,NOT_REQUIRED,285,False,300,305,300,LOCAL_FORENSIC_BUFFER,True,False,False
C01_SPEED_SENSOR_SPOOFING,DISCONNECTED,CONNECTIVITY_DEGRADED,Safety telemetry connection unavailable. Local evidence preservation active.,LOCAL_FORENSIC_BUFFER,DEFERRED,DEFERRED,105,True,300,305,300,LOCAL_FORENSIC_BUFFER,True,False,False
C01_SPEED_SENSOR_SPOOFING,RECOVERED,RECOVERY_READY,Connectivity recovered. Evidence synchronization and SOC handoff ready.,RECOVERY_QUEUE,READY,READY,75,False,300,305,300,LOCAL_FORENSIC_BUFFER,True,False,False
C02_BRAKE_ACCELERATOR_ATTACK,CONNECTED,NORMAL,Safety telemetry connected.,CONNECTED_STREAM,NOT_REQUIRED,NOT_REQUIRED,285,False,300,305,300,LOCAL_FORENSIC_BUFFER,True,False,False
C02_BRAKE_ACCELERATOR_ATTACK,DISCONNECTED,CONNECTIVITY_DEGRADED,Safety telemetry connection unavailable. Local evidence preservation active.,LOCAL_FORENSIC_BUFFER,DEFERRED,DEFERRED,105,True,300,305,300,LOCAL_FORENSIC_BUFFER,True,False,False
C02_BRAKE_ACCELERATOR_ATTACK,RECOVERED,RECOVERY_READY,Connectivity recovered. Evidence synchronization and SOC handoff ready.,RECOVERY_QUEUE,READY,READY,75,False,300,305,300,LOCAL_FORENSIC_BUFFER,True,False,False
C03_TORQUE_DYNAMICS_ATTACK,CONNECTED,NORMAL,Safety telemetry connected.,CONNECTED_STREAM,NOT_REQUIRED,NOT_REQUIRED,285,False,300,305,300,LOCAL_FORENSIC_BUFFER,True,False,False
C03_TORQUE_DYNAMICS_ATTACK,DISCONNECTED,CONNECTIVITY_DEGRADED,Safety telemetry connection unavailable. Local evidence preservation active.,LOCAL_FORENSIC_BUFFER,DEFERRED,DEFERRED,105,True,300,305,300,LOCAL_FORENSIC_BUFFER,True,False,False
C03_TORQUE_DYNAMICS_ATTACK,RECOVERED,RECOVERY_READY,Connectivity recovered. Evidence synchronization and SOC handoff ready.,RECOVERY_QUEUE,READY,READY,75,False,300,305,300,LOCAL_FORENSIC_BUFFER,True,False,False
C04_HV_POWER_ATTACK,CONNECTED,NORMAL,Safety telemetry connected.,CONNECTED_STREAM,NOT_REQUIRED,NOT_REQUIRED,285,False,300,305,300,LOCAL_FORENSIC_BUFFER,True,False,False
