dataset,year,table,column_position,variable,role,family,identifier_flag,name_field_flag,survey_design_flag,candidate_feature,candidate_target,candidate_context,cyber_physical_relevance,occupant_relevance,vehicle_relevance,event_relevance,requires_codebook_verification
CRSS,2024,accident.csv,1,CASENUM,identifier,crash_context,True,False,False,False,False,True,False,False,False,False,False
CRSS,2024,accident.csv,2,PSU,survey_design,crash_context,False,False,True,False,False,False,False,False,False,False,False
CRSS,2024,accident.csv,3,PSU_VAR,survey_design,crash_context,False,False,True,False,False,False,False,False,False,False,False
CRSS,2024,accident.csv,4,PSUSTRAT,survey_design,crash_context,False,False,True,False,False,False,False,False,False,False,False
CRSS,2024,accident.csv,5,REGION,identifier,crash_context,True,False,False,False,False,True,False,False,False,False,False
CRSS,2024,accident.csv,6,REGIONNAME,descriptive_label,crash_context,False,True,False,False,False,True,False,False,False,False,False
CRSS,2024,accident.csv,7,URBANICITY,candidate_feature,crash_context,False,False,False,True,False,False,False,False,False,False,False
CRSS,2024,accident.csv,8,URBANICITYNAME,descriptive_label,crash_context,False,True,False,False,False,True,False,False,False,False,False
CRSS,2024,accident.csv,9,STRATUM,survey_design,crash_context,False,False,True,False,False,False,False,False,False,False,False
CRSS,2024,accident.csv,10,STRATUMNAME,descriptive_label,crash_context,False,True,False,False,False,True,False,False,False,False,False
CRSS,2024,accident.csv,11,PJ,survey_design,crash_context,False,False,True,False,False,False,False,False,False,False,False
CRSS,2024,accident.csv,12,WEIGHT,survey_design,crash_context,False,False,True,False,False,False,False,False,False,False,False
CRSS,2024,accident.csv,13,PEDS,candidate_feature,crash_context,False,False,False,True,False,False,False,True,False,False,True
CRSS,2024,accident.csv,14,PERNOTMVIT,candidate_feature,crash_context,False,False,False,True,False,False,False,False,False,False,False
CRSS,2024,accident.csv,15,VE_TOTAL,candidate_feature,crash_context,False,False,False,True,False,False,False,False,False,False,False
CRSS,2024,accident.csv,16,VE_FORMS,candidate_feature,crash_context,False,False,False,True,False,False,False,False,False,False,False
CRSS,2024,accident.csv,17,PVH_INVL,candidate_feature,crash_context,False,False,False,True,False,False,False,False,False,False,False
CRSS,2024,accident.csv,18,PERMVIT,candidate_feature,crash_context,False,False,False,True,False,False,False,False,False,False,False
CRSS,2024,accident.csv,19,MONTH,candidate_feature,crash_context,False,False,False,True,False,False,False,False,False,False,False
CRSS,2024,accident.csv,20,MONTHNAME,descriptive_label,crash_context,False,True,False,False,False,True,False,False,False,False,False
CRSS,2024,accident.csv,21,DAY_WEEK,candidate_feature,crash_context,False,False,False,True,False,False,False,False,False,False,False
CRSS,2024,accident.csv,22,DAY_WEEKNAME,descriptive_label,crash_context,False,True,False,False,False,True,False,False,False,False,False
CRSS,2024,accident.csv,23,WKDY_IM,candidate_feature,crash_context,False,False,False,True,False,False,False,False,False,False,False
CRSS,2024,accident.csv,24,WKDY_IMNAME,descriptive_label,crash_context,False,True,False,False,False,True,False,False,False,False,False
CRSS,2024,accident.csv,25,YEAR,candidate_feature,crash_context,False,False,False,True,False,False,False,False,False,False,False
CRSS,2024,accident.csv,26,YEARNAME,descriptive_label,crash_context,False,True,False,False,False,True,False,False,False,False,False
CRSS,2024,accident.csv,27,HOUR,candidate_feature,crash_context,False,False,False,True,False,False,False,False,False,False,False
CRSS,2024,accident.csv,28,HOURNAME,descriptive_label,crash_context,False,True,False,False,False,True,False,False,False,False,False
CRSS,2024,accident.csv,29,HOUR_IM,candidate_feature,crash_context,False,False,False,True,False,False,False,False,False,False,False
CRSS,2024,accident.csv,30,HOUR_IMNAME,descriptive_label,crash_context,False,True,False,False,False,True,False,False,False,False,False
CRSS,2024,accident.csv,31,MINUTE,candidate_feature,crash_context,False,False,False,True,False,False,False,False,False,False,False
CRSS,2024,accident.csv,32,MINUTENAME,descriptive_label,crash_context,False,True,False,False,False,True,False,False,False,False,False
CRSS,2024,accident.csv,33,MINUTE_IM,candidate_feature,crash_context,False,False,False,True,False,False,False,False,False,False,False
CRSS,2024,accident.csv,34,MINUTE_IMNAME,descriptive_label,crash_context,False,True,False,False,False,True,False,False,False,False,False
CRSS,2024,accident.csv,35,HARM_EV,candidate_feature,crash_context,False,False,False,True,False,False,False,False,False,True,True
CRSS,2024,accident.csv,36,HARM_EVNAME,descriptive_label,crash_context,False,True,False,False,False,True,False,False,False,True,False
CRSS,2024,accident.csv,37,EVENT1_IM,candidate_feature,crash_context,False,False,False,True,False,False,True,False,False,True,True
CRSS,2024,accident.csv,38,EVENT1_IMNAME,descriptive_label,crash_context,False,True,False,False,False,True,True,False,False,True,False
CRSS,2024,accident.csv,39,MAN_COLL,candidate_feature,crash_context,False,False,False,True,False,False,False,False,False,True,True
CRSS,2024,accident.csv,40,MAN_COLLNAME,descriptive_label,crash_context,False,True,False,False,False,True,False,False,False,True,False
CRSS,2024,accident.csv,41,MANCOL_IM,candidate_feature,crash_context,False,False,False,True,False,False,False,False,False,False,False
CRSS,2024,accident.csv,42,MANCOL_IMNAME,descriptive_label,crash_context,False,True,False,False,False,True,False,False,False,False,False
CRSS,2024,accident.csv,43,RELJCT1,candidate_feature,crash_context,False,False,False,True,False,False,False,False,False,False,False
CRSS,2024,accident.csv,44,RELJCT1NAME,descriptive_label,crash_context,False,True,False,False,False,True,False,False,False,False,False
CRSS,2024,accident.csv,45,RELJCT1_IM,candidate_feature,crash_context,False,False,False,True,False,False,False,False,False,False,False
CRSS,2024,accident.csv,46,RELJCT1_IMNAME,descriptive_label,crash_context,False,True,False,False,False,True,False,False,False,False,False
CRSS,2024,accident.csv,47,RELJCT2,candidate_feature,crash_context,False,False,False,True,False,False,False,False,False,False,False
CRSS,2024,accident.csv,48,RELJCT2NAME,descriptive_label,crash_context,False,True,False,False,False,True,False,False,False,False,False
CRSS,2024,accident.csv,49,RELJCT2_IM,candidate_feature,crash_context,False,False,False,True,False,False,False,False,False,False,False
CRSS,2024,accident.csv,50,RELJCT2_IMNAME,descriptive_label,crash_context,False,True,False,False,False,True,False,False,False,False,False
CRSS,2024,accident.csv,51,TYP_INT,candidate_feature,crash_context,False,False,False,True,False,False,False,False,False,False,False
CRSS,2024,accident.csv,52,TYP_INTNAME,descriptive_label,crash_context,False,True,False,False,False,True,False,False,False,False,False
CRSS,2024,accident.csv,53,REL_ROAD,candidate_feature,crash_context,False,False,False,True,False,False,False,False,False,False,False
CRSS,2024,accident.csv,54,REL_ROADNAME,descriptive_label,crash_context,False,True,False,False,False,True,False,False,False,False,False
CRSS,2024,accident.csv,55,WRK_ZONE,candidate_feature,crash_context,False,False,False,True,False,False,False,False,False,False,False
CRSS,2024,accident.csv,56,WRK_ZONENAME,descriptive_label,crash_context,False,True,False,False,False,True,False,False,False,False,False
CRSS,2024,accident.csv,57,LGT_COND,candidate_feature,crash_context,False,False,False,True,False,False,False,False,False,False,False
CRSS,2024,accident.csv,58,LGT_CONDNAME,descriptive_label,crash_context,False,True,False,False,False,True,False,False,False,False,False
CRSS,2024,accident.csv,59,LGTCON_IM,candidate_feature,crash_context,False,False,False,True,False,False,False,False,False,False,False
CRSS,2024,accident.csv,60,LGTCON_IMNAME,descriptive_label,crash_context,False,True,False,False,False,True,False,False,False,False,False
CRSS,2024,accident.csv,61,WEATHER,candidate_feature,crash_context,False,False,False,True,False,False,False,False,False,False,False
CRSS,2024,accident.csv,62,WEATHERNAME,descriptive_label,crash_context,False,True,False,False,False,True,False,False,False,False,False
CRSS,2024,accident.csv,63,WEATHR_IM,candidate_feature,crash_context,False,False,False,True,False,False,False,False,False,False,False
CRSS,2024,accident.csv,64,WEATHR_IMNAME,descriptive_label,crash_context,False,True,False,False,False,True,False,False,False,False,False
CRSS,2024,accident.csv,65,SCH_BUS,candidate_feature,crash_context,False,False,False,True,False,False,False,False,False,False,False
CRSS,2024,accident.csv,66,SCH_BUSNAME,descriptive_label,crash_context,False,True,False,False,False,True,False,False,False,False,False
CRSS,2024,accident.csv,67,INT_HWY,candidate_feature,crash_context,False,False,False,True,False,False,False,False,False,False,False
CRSS,2024,accident.csv,68,INT_HWYNAME,descriptive_label,crash_context,False,True,False,False,False,True,False,False,False,False,False
CRSS,2024,accident.csv,69,MAX_SEV,candidate_target,crash_context,False,False,False,False,True,False,False,False,False,False,False
CRSS,2024,accident.csv,70,MAX_SEVNAME,descriptive_label,crash_context,False,True,False,False,False,True,False,False,False,False,False
CRSS,2024,accident.csv,71,MAXSEV_IM,candidate_target,crash_context,False,False,False,False,True,False,False,False,False,False,False
CRSS,2024,accident.csv,72,MAXSEV_IMNAME,descriptive_label,crash_context,False,True,False,False,False,True,False,False,False,False,False
CRSS,2024,accident.csv,73,NUM_INJ,candidate_target,crash_context,False,False,False,False,True,False,False,True,False,False,True
CRSS,2024,accident.csv,74,NUM_INJNAME,descriptive_label,crash_context,False,True,False,False,False,True,False,True,False,False,False
CRSS,2024,accident.csv,75,NO_INJ_IM,candidate_target,crash_context,False,False,False,False,True,False,False,True,False,False,True
CRSS,2024,accident.csv,76,NO_INJ_IMNAME,descriptive_label,crash_context,False,True,False,False,False,True,False,True,False,False,False
CRSS,2024,accident.csv,77,ALCOHOL,candidate_feature,crash_context,False,False,False,True,False,False,False,True,False,False,True
CRSS,2024,accident.csv,78,ALCOHOLNAME,descriptive_label,crash_context,False,True,False,False,False,True,False,True,False,False,False
CRSS,2024,accident.csv,79,ALCHL_IM,candidate_feature,crash_context,False,False,False,True,False,False,False,True,False,False,True
CRSS,2024,accident.csv,80,ALCHL_IMNAME,descriptive_label,crash_context,False,True,False,False,False,True,False,True,False,False,False
CRSS,2024,cevent.csv,1,CASENUM,identifier,event_sequence,True,False,False,False,False,True,False,False,False,False,False
CRSS,2024,cevent.csv,2,PSU,survey_design,event_sequence,False,False,True,False,False,False,False,False,False,False,False
CRSS,2024,cevent.csv,3,PSU_VAR,survey_design,event_sequence,False,False,True,False,False,False,False,False,False,False,False
CRSS,2024,cevent.csv,4,PSUSTRAT,survey_design,event_sequence,False,False,True,False,False,False,False,False,False,False,False
CRSS,2024,cevent.csv,5,REGION,identifier,event_sequence,True,False,False,False,False,True,False,False,False,False,False
CRSS,2024,cevent.csv,6,REGIONNAME,descriptive_label,event_sequence,False,True,False,False,False,True,False,False,False,False,False
CRSS,2024,cevent.csv,7,URBANICITY,candidate_feature,event_sequence,False,False,False,True,False,False,False,False,False,False,False
CRSS,2024,cevent.csv,8,URBANICITYNAME,descriptive_label,event_sequence,False,True,False,False,False,True,False,False,False,False,False
CRSS,2024,cevent.csv,9,STRATUM,survey_design,event_sequence,False,False,True,False,False,False,False,False,False,False,False
CRSS,2024,cevent.csv,10,STRATUMNAME,descriptive_label,event_sequence,False,True,False,False,False,True,False,False,False,False,False
CRSS,2024,cevent.csv,11,PJ,survey_design,event_sequence,False,False,True,False,False,False,False,False,False,False,False
CRSS,2024,cevent.csv,12,WEIGHT,survey_design,event_sequence,False,False,True,False,False,False,False,False,False,False,False
CRSS,2024,cevent.csv,13,EVENTNUM,relational_identifier,event_sequence,True,False,False,False,False,True,True,False,False,True,False
CRSS,2024,cevent.csv,14,VNUMBER1,relational_identifier,event_sequence,True,False,False,False,False,True,False,False,False,True,False
CRSS,2024,cevent.csv,15,AOI1,relational_identifier,event_sequence,True,False,False,False,False,True,True,False,False,True,False
CRSS,2024,cevent.csv,16,AOI1NAME,descriptive_label,event_sequence,False,True,False,False,False,True,True,False,False,True,False
CRSS,2024,cevent.csv,17,SOE,relational_identifier,event_sequence,True,False,False,False,False,True,True,False,False,True,False
CRSS,2024,cevent.csv,18,SOENAME,descriptive_label,event_sequence,False,True,False,False,False,True,True,False,False,True,False
CRSS,2024,cevent.csv,19,VNUMBER2,relational_identifier,event_sequence,True,False,False,False,False,True,False,False,False,True,False
CRSS,2024,cevent.csv,20,VNUMBER2NAME,descriptive_label,event_sequence,False,True,False,False,False,True,False,False,False,True,False
CRSS,2024,cevent.csv,21,AOI2,relational_identifier,event_sequence,True,False,False,False,False,True,True,False,False,True,False
CRSS,2024,cevent.csv,22,AOI2NAME,descriptive_label,event_sequence,False,True,False,False,False,True,True,False,False,True,False
CRSS,2024,crashrf.csv,1,CASENUM,identifier,risk_factor,True,False,False,False,False,True,False,False,False,False,False
CRSS,2024,crashrf.csv,2,PSU,survey_design,risk_factor,False,False,True,False,False,False,False,False,False,False,False
CRSS,2024,crashrf.csv,3,PSU_VAR,survey_design,risk_factor,False,False,True,False,False,False,False,False,False,False,False
CRSS,2024,crashrf.csv,4,PSUSTRAT,survey_design,risk_factor,False,False,True,False,False,False,False,False,False,False,False
CRSS,2024,crashrf.csv,5,REGION,identifier,risk_factor,True,False,False,False,False,True,False,False,False,False,False
CRSS,2024,crashrf.csv,6,REGIONNAME,descriptive_label,risk_factor,False,True,False,False,False,True,False,False,False,False,False
CRSS,2024,crashrf.csv,7,URBANICITY,candidate_feature,risk_factor,False,False,False,True,False,False,False,False,False,False,False
CRSS,2024,crashrf.csv,8,URBANICITYNAME,descriptive_label,risk_factor,False,True,False,False,False,True,False,False,False,False,False
CRSS,2024,crashrf.csv,9,STRATUM,survey_design,risk_factor,False,False,True,False,False,False,False,False,False,False,False
CRSS,2024,crashrf.csv,10,STRATUMNAME,descriptive_label,risk_factor,False,True,False,False,False,True,False,False,False,False,False
CRSS,2024,crashrf.csv,11,PJ,survey_design,risk_factor,False,False,True,False,False,False,False,False,False,False,False
CRSS,2024,crashrf.csv,12,WEIGHT,survey_design,risk_factor,False,False,True,False,False,False,False,False,False,False,False
CRSS,2024,crashrf.csv,13,CRASHRF,candidate_feature,risk_factor,False,False,False,True,False,False,False,False,False,False,False
CRSS,2024,crashrf.csv,14,CRASHRFNAME,descriptive_label,risk_factor,False,True,False,False,False,True,False,False,False,False,False
CRSS,2024,damage.csv,1,CASENUM,identifier,vehicle,True,False,False,False,False,True,False,False,False,False,False
CRSS,2024,damage.csv,2,VEH_NO,relational_identifier,vehicle,True,False,False,False,False,True,False,False,True,False,False
CRSS,2024,damage.csv,3,PSU,survey_design,vehicle,False,False,True,False,False,False,False,False,False,False,False
CRSS,2024,damage.csv,4,PSU_VAR,survey_design,vehicle,False,False,True,False,False,False,False,False,False,False,False
CRSS,2024,damage.csv,5,PSUSTRAT,survey_design,vehicle,False,False,True,False,False,False,False,False,False,False,False
CRSS,2024,damage.csv,6,REGION,identifier,vehicle,True,False,False,False,False,True,False,False,False,False,False
CRSS,2024,damage.csv,7,REGIONNAME,descriptive_label,vehicle,False,True,False,False,False,True,False,False,False,False,False
CRSS,2024,damage.csv,8,URBANICITY,candidate_feature,vehicle,False,False,False,True,False,False,False,False,False,False,False
CRSS,2024,damage.csv,9,URBANICITYNAME,descriptive_label,vehicle,False,True,False,False,False,True,False,False,False,False,False
CRSS,2024,damage.csv,10,STRATUM,survey_design,vehicle,False,False,True,False,False,False,False,False,False,False,False
CRSS,2024,damage.csv,11,STRATUMNAME,descriptive_label,vehicle,False,True,False,False,False,True,False,False,False,False,False
CRSS,2024,damage.csv,12,PJ,survey_design,vehicle,False,False,True,False,False,False,False,False,False,False,False
CRSS,2024,damage.csv,13,WEIGHT,survey_design,vehicle,False,False,True,False,False,False,False,False,False,False,False
CRSS,2024,damage.csv,14,DAMAGE,candidate_feature,vehicle,False,False,False,True,False,False,False,True,False,False,True
CRSS,2024,damage.csv,15,DAMAGENAME,descriptive_label,vehicle,False,True,False,False,False,True,False,True,False,False,False
CRSS,2024,distract.csv,1,CASENUM,identifier,vehicle,True,False,False,False,False,True,False,False,False,False,False
CRSS,2024,distract.csv,2,VEH_NO,relational_identifier,vehicle,True,False,False,False,False,True,False,False,True,False,False
CRSS,2024,distract.csv,3,PSU,survey_design,vehicle,False,False,True,False,False,False,False,False,False,False,False
CRSS,2024,distract.csv,4,PSU_VAR,survey_design,vehicle,False,False,True,False,False,False,False,False,False,False,False
CRSS,2024,distract.csv,5,PSUSTRAT,survey_design,vehicle,False,False,True,False,False,False,False,False,False,False,False
CRSS,2024,distract.csv,6,REGION,identifier,vehicle,True,False,False,False,False,True,False,False,False,False,False
