table,size_bytes,row_count,column_count,columns
accident.csv,34493307,51658,80,CASENUM|PSU|PSU_VAR|PSUSTRAT|REGION|REGIONNAME|URBANICITY|URBANICITYNAME|STRATUM|STRATUMNAME|PJ|WEIGHT|PEDS|PERNOTMVIT|VE_TOTAL|VE_FORMS|PVH_INVL|PERMVIT|MONTH|MONTHNAME|DAY_WEEK|DAY_WEEKNAME|WKDY_IM|WKDY_IMNAME|YEAR|YEARNAME|HOUR|HOURNAME|HOUR_IM|HOUR_IMNAME|MINUTE|MINUTENAME|MINUTE_IM|MINUTE_IMNAME|HARM_EV|HARM_EVNAME|EVENT1_IM|EVENT1_IMNAME|MAN_COLL|MAN_COLLNAME|MANCOL_IM|MANCOL_IMNAME|RELJCT1|RELJCT1NAME|RELJCT1_IM|RELJCT1_IMNAME|RELJCT2|RELJCT2NAME|RELJCT2_IM|RELJCT2_IMNAME|TYP_INT|TYP_INTNAME|REL_ROAD|REL_ROADNAME|WRK_ZONE|WRK_ZONENAME|LGT_COND|LGT_CONDNAME|LGTCON_IM|LGTCON_IMNAME|WEATHER|WEATHERNAME|WEATHR_IM|WEATHR_IMNAME|SCH_BUS|SCH_BUSNAME|INT_HWY|INT_HWYNAME|MAX_SEV|MAX_SEVNAME|MAXSEV_IM|MAXSEV_IMNAME|NUM_INJ|NUM_INJNAME|NO_INJ_IM|NO_INJ_IMNAME|ALCOHOL|ALCOHOLNAME|ALCHL_IM|ALCHL_IMNAME
cevent.csv,19974801,84081,22,CASENUM|PSU|PSU_VAR|PSUSTRAT|REGION|REGIONNAME|URBANICITY|URBANICITYNAME|STRATUM|STRATUMNAME|PJ|WEIGHT|EVENTNUM|VNUMBER1|AOI1|AOI1NAME|SOE|SOENAME|VNUMBER2|VNUMBER2NAME|AOI2|AOI2NAME
crashrf.csv,8859801,51817,14,CASENUM|PSU|PSU_VAR|PSUSTRAT|REGION|REGIONNAME|URBANICITY|URBANICITYNAME|STRATUM|STRATUMNAME|PJ|WEIGHT|CRASHRF|CRASHRFNAME
damage.csv,33199508,191085,15,CASENUM|VEH_NO|PSU|PSU_VAR|PSUSTRAT|REGION|REGIONNAME|URBANICITY|URBANICITYNAME|STRATUM|STRATUMNAME|PJ|WEIGHT|DAMAGE|DAMAGENAME
distract.csv,16093067,90696,15,CASENUM|VEH_NO|PSU|PSU_VAR|PSUSTRAT|REGION|REGIONNAME|URBANICITY|URBANICITYNAME|STRATUM|STRATUMNAME|PJ|WEIGHT|DRDISTRACT|DRDISTRACTNAME
drimpair.csv,16422718,90761,15,CASENUM|VEH_NO|PSU|PSU_VAR|PSUSTRAT|REGION|REGIONNAME|URBANICITY|URBANICITYNAME|STRATUM|STRATUMNAME|PJ|WEIGHT|DRIMPAIR|DRIMPAIRNAME
driverrf.csv,16495353,92041,15,CASENUM|VEH_NO|PSU|PSU_VAR|PSUSTRAT|REGION|REGIONNAME|URBANICITY|URBANICITYNAME|STRATUM|STRATUMNAME|PJ|WEIGHT|DRIVERRF|DRIVERRFNAME
factor.csv,15564749,90708,15,CASENUM|VEH_NO|PSU|PSU_VAR|PSUSTRAT|REGION|REGIONNAME|URBANICITY|URBANICITYNAME|STRATUM|STRATUMNAME|PJ|WEIGHT|VEHICLECC|VEHICLECCNAME
maneuver.csv,16300514,90643,15,CASENUM|VEH_NO|PSU|PSU_VAR|PSUSTRAT|REGION|REGIONNAME|URBANICITY|URBANICITYNAME|STRATUM|STRATUMNAME|PJ|WEIGHT|MANEUVER|MANEUVERNAME
nmcrash.csv,1470130,7469,16,CASENUM|VEH_NO|PER_NO|PSU|PSU_VAR|PSUSTRAT|REGION|REGIONNAME|URBANICITY|URBANICITYNAME|STRATUM|STRATUMNAME|PJ|WEIGHT|NMCC|NMCCNAME
