dataset,year,table,column_position,variable
CRSS,2024,accident.csv,1,CASENUM
CRSS,2024,accident.csv,2,PSU
CRSS,2024,accident.csv,3,PSU_VAR
CRSS,2024,accident.csv,4,PSUSTRAT
CRSS,2024,accident.csv,5,REGION
CRSS,2024,accident.csv,6,REGIONNAME
CRSS,2024,accident.csv,7,URBANICITY
CRSS,2024,accident.csv,8,URBANICITYNAME
CRSS,2024,accident.csv,9,STRATUM
CRSS,2024,accident.csv,10,STRATUMNAME
CRSS,2024,accident.csv,11,PJ
CRSS,2024,accident.csv,12,WEIGHT
CRSS,2024,accident.csv,13,PEDS
CRSS,2024,accident.csv,14,PERNOTMVIT
CRSS,2024,accident.csv,15,VE_TOTAL
CRSS,2024,accident.csv,16,VE_FORMS
CRSS,2024,accident.csv,17,PVH_INVL
CRSS,2024,accident.csv,18,PERMVIT
CRSS,2024,accident.csv,19,MONTH
CRSS,2024,accident.csv,20,MONTHNAME
CRSS,2024,accident.csv,21,DAY_WEEK
CRSS,2024,accident.csv,22,DAY_WEEKNAME
CRSS,2024,accident.csv,23,WKDY_IM
CRSS,2024,accident.csv,24,WKDY_IMNAME
CRSS,2024,accident.csv,25,YEAR
CRSS,2024,accident.csv,26,YEARNAME
CRSS,2024,accident.csv,27,HOUR
CRSS,2024,accident.csv,28,HOURNAME
CRSS,2024,accident.csv,29,HOUR_IM
CRSS,2024,accident.csv,30,HOUR_IMNAME
CRSS,2024,accident.csv,31,MINUTE
CRSS,2024,accident.csv,32,MINUTENAME
CRSS,2024,accident.csv,33,MINUTE_IM
CRSS,2024,accident.csv,34,MINUTE_IMNAME
CRSS,2024,accident.csv,35,HARM_EV
CRSS,2024,accident.csv,36,HARM_EVNAME
CRSS,2024,accident.csv,37,EVENT1_IM
CRSS,2024,accident.csv,38,EVENT1_IMNAME
CRSS,2024,accident.csv,39,MAN_COLL
CRSS,2024,accident.csv,40,MAN_COLLNAME
CRSS,2024,accident.csv,41,MANCOL_IM
CRSS,2024,accident.csv,42,MANCOL_IMNAME
CRSS,2024,accident.csv,43,RELJCT1
CRSS,2024,accident.csv,44,RELJCT1NAME
CRSS,2024,accident.csv,45,RELJCT1_IM
CRSS,2024,accident.csv,46,RELJCT1_IMNAME
CRSS,2024,accident.csv,47,RELJCT2
CRSS,2024,accident.csv,48,RELJCT2NAME
CRSS,2024,accident.csv,49,RELJCT2_IM
CRSS,2024,accident.csv,50,RELJCT2_IMNAME
CRSS,2024,accident.csv,51,TYP_INT
CRSS,2024,accident.csv,52,TYP_INTNAME
CRSS,2024,accident.csv,53,REL_ROAD
CRSS,2024,accident.csv,54,REL_ROADNAME
CRSS,2024,accident.csv,55,WRK_ZONE
CRSS,2024,accident.csv,56,WRK_ZONENAME
CRSS,2024,accident.csv,57,LGT_COND
CRSS,2024,accident.csv,58,LGT_CONDNAME
CRSS,2024,accident.csv,59,LGTCON_IM
CRSS,2024,accident.csv,60,LGTCON_IMNAME
CRSS,2024,accident.csv,61,WEATHER
CRSS,2024,accident.csv,62,WEATHERNAME
CRSS,2024,accident.csv,63,WEATHR_IM
CRSS,2024,accident.csv,64,WEATHR_IMNAME
CRSS,2024,accident.csv,65,SCH_BUS
CRSS,2024,accident.csv,66,SCH_BUSNAME
CRSS,2024,accident.csv,67,INT_HWY
CRSS,2024,accident.csv,68,INT_HWYNAME
CRSS,2024,accident.csv,69,MAX_SEV
CRSS,2024,accident.csv,70,MAX_SEVNAME
CRSS,2024,accident.csv,71,MAXSEV_IM
CRSS,2024,accident.csv,72,MAXSEV_IMNAME
CRSS,2024,accident.csv,73,NUM_INJ
CRSS,2024,accident.csv,74,NUM_INJNAME
CRSS,2024,accident.csv,75,NO_INJ_IM
CRSS,2024,accident.csv,76,NO_INJ_IMNAME
CRSS,2024,accident.csv,77,ALCOHOL
CRSS,2024,accident.csv,78,ALCOHOLNAME
CRSS,2024,accident.csv,79,ALCHL_IM
CRSS,2024,accident.csv,80,ALCHL_IMNAME
CRSS,2024,cevent.csv,1,CASENUM
CRSS,2024,cevent.csv,2,PSU
CRSS,2024,cevent.csv,3,PSU_VAR
CRSS,2024,cevent.csv,4,PSUSTRAT
CRSS,2024,cevent.csv,5,REGION
CRSS,2024,cevent.csv,6,REGIONNAME
CRSS,2024,cevent.csv,7,URBANICITY
CRSS,2024,cevent.csv,8,URBANICITYNAME
CRSS,2024,cevent.csv,9,STRATUM
CRSS,2024,cevent.csv,10,STRATUMNAME
CRSS,2024,cevent.csv,11,PJ
CRSS,2024,cevent.csv,12,WEIGHT
CRSS,2024,cevent.csv,13,EVENTNUM
CRSS,2024,cevent.csv,14,VNUMBER1
CRSS,2024,cevent.csv,15,AOI1
CRSS,2024,cevent.csv,16,AOI1NAME
CRSS,2024,cevent.csv,17,SOE
CRSS,2024,cevent.csv,18,SOENAME
CRSS,2024,cevent.csv,19,VNUMBER2
CRSS,2024,cevent.csv,20,VNUMBER2NAME
CRSS,2024,cevent.csv,21,AOI2
CRSS,2024,cevent.csv,22,AOI2NAME
CRSS,2024,crashrf.csv,1,CASENUM
CRSS,2024,crashrf.csv,2,PSU
CRSS,2024,crashrf.csv,3,PSU_VAR
CRSS,2024,crashrf.csv,4,PSUSTRAT
CRSS,2024,crashrf.csv,5,REGION
CRSS,2024,crashrf.csv,6,REGIONNAME
CRSS,2024,crashrf.csv,7,URBANICITY
CRSS,2024,crashrf.csv,8,URBANICITYNAME
CRSS,2024,crashrf.csv,9,STRATUM
CRSS,2024,crashrf.csv,10,STRATUMNAME
CRSS,2024,crashrf.csv,11,PJ
CRSS,2024,crashrf.csv,12,WEIGHT
CRSS,2024,crashrf.csv,13,CRASHRF
CRSS,2024,crashrf.csv,14,CRASHRFNAME
CRSS,2024,damage.csv,1,CASENUM
CRSS,2024,damage.csv,2,VEH_NO
CRSS,2024,damage.csv,3,PSU
CRSS,2024,damage.csv,4,PSU_VAR
CRSS,2024,damage.csv,5,PSUSTRAT
CRSS,2024,damage.csv,6,REGION
CRSS,2024,damage.csv,7,REGIONNAME
CRSS,2024,damage.csv,8,URBANICITY
CRSS,2024,damage.csv,9,URBANICITYNAME
CRSS,2024,damage.csv,10,STRATUM
CRSS,2024,damage.csv,11,STRATUMNAME
CRSS,2024,damage.csv,12,PJ
CRSS,2024,damage.csv,13,WEIGHT
CRSS,2024,damage.csv,14,DAMAGE
CRSS,2024,damage.csv,15,DAMAGENAME
CRSS,2024,distract.csv,1,CASENUM
CRSS,2024,distract.csv,2,VEH_NO
CRSS,2024,distract.csv,3,PSU
CRSS,2024,distract.csv,4,PSU_VAR
CRSS,2024,distract.csv,5,PSUSTRAT
CRSS,2024,distract.csv,6,REGION
CRSS,2024,distract.csv,7,REGIONNAME
CRSS,2024,distract.csv,8,URBANICITY
CRSS,2024,distract.csv,9,URBANICITYNAME
CRSS,2024,distract.csv,10,STRATUM
CRSS,2024,distract.csv,11,STRATUMNAME
CRSS,2024,distract.csv,12,PJ
CRSS,2024,distract.csv,13,WEIGHT
CRSS,2024,distract.csv,14,DRDISTRACT
CRSS,2024,distract.csv,15,DRDISTRACTNAME
CRSS,2024,drimpair.csv,1,CASENUM
CRSS,2024,drimpair.csv,2,VEH_NO
CRSS,2024,drimpair.csv,3,PSU
CRSS,2024,drimpair.csv,4,PSU_VAR
CRSS,2024,drimpair.csv,5,PSUSTRAT
CRSS,2024,drimpair.csv,6,REGION
CRSS,2024,drimpair.csv,7,REGIONNAME
CRSS,2024,drimpair.csv,8,URBANICITY
CRSS,2024,drimpair.csv,9,URBANICITYNAME
CRSS,2024,drimpair.csv,10,STRATUM
CRSS,2024,drimpair.csv,11,STRATUMNAME
CRSS,2024,drimpair.csv,12,PJ
CRSS,2024,drimpair.csv,13,WEIGHT
CRSS,2024,drimpair.csv,14,DRIMPAIR
CRSS,2024,drimpair.csv,15,DRIMPAIRNAME
CRSS,2024,driverrf.csv,1,CASENUM
CRSS,2024,driverrf.csv,2,VEH_NO
CRSS,2024,driverrf.csv,3,PSU
CRSS,2024,driverrf.csv,4,PSU_VAR
CRSS,2024,driverrf.csv,5,PSUSTRAT
CRSS,2024,driverrf.csv,6,REGION
CRSS,2024,driverrf.csv,7,REGIONNAME
CRSS,2024,driverrf.csv,8,URBANICITY
CRSS,2024,driverrf.csv,9,URBANICITYNAME
CRSS,2024,driverrf.csv,10,STRATUM
CRSS,2024,driverrf.csv,11,STRATUMNAME
CRSS,2024,driverrf.csv,12,PJ
CRSS,2024,driverrf.csv,13,WEIGHT
CRSS,2024,driverrf.csv,14,DRIVERRF
CRSS,2024,driverrf.csv,15,DRIVERRFNAME
CRSS,2024,factor.csv,1,CASENUM
CRSS,2024,factor.csv,2,VEH_NO
CRSS,2024,factor.csv,3,PSU
CRSS,2024,factor.csv,4,PSU_VAR
CRSS,2024,factor.csv,5,PSUSTRAT
CRSS,2024,factor.csv,6,REGION
CRSS,2024,factor.csv,7,REGIONNAME
CRSS,2024,factor.csv,8,URBANICITY
CRSS,2024,factor.csv,9,URBANICITYNAME
CRSS,2024,factor.csv,10,STRATUM
CRSS,2024,factor.csv,11,STRATUMNAME
CRSS,2024,factor.csv,12,PJ
CRSS,2024,factor.csv,13,WEIGHT
CRSS,2024,factor.csv,14,VEHICLECC
CRSS,2024,factor.csv,15,VEHICLECCNAME
CRSS,2024,maneuver.csv,1,CASENUM
CRSS,2024,maneuver.csv,2,VEH_NO
CRSS,2024,maneuver.csv,3,PSU
CRSS,2024,maneuver.csv,4,PSU_VAR
CRSS,2024,maneuver.csv,5,PSUSTRAT
CRSS,2024,maneuver.csv,6,REGION
CRSS,2024,maneuver.csv,7,REGIONNAME
CRSS,2024,maneuver.csv,8,URBANICITY
CRSS,2024,maneuver.csv,9,URBANICITYNAME
CRSS,2024,maneuver.csv,10,STRATUM
CRSS,2024,maneuver.csv,11,STRATUMNAME
CRSS,2024,maneuver.csv,12,PJ
CRSS,2024,maneuver.csv,13,WEIGHT
CRSS,2024,maneuver.csv,14,MANEUVER
CRSS,2024,maneuver.csv,15,MANEUVERNAME
CRSS,2024,nmcrash.csv,1,CASENUM
CRSS,2024,nmcrash.csv,2,VEH_NO
CRSS,2024,nmcrash.csv,3,PER_NO
CRSS,2024,nmcrash.csv,4,PSU
CRSS,2024,nmcrash.csv,5,PSU_VAR
CRSS,2024,nmcrash.csv,6,PSUSTRAT
CRSS,2024,nmcrash.csv,7,REGION
CRSS,2024,nmcrash.csv,8,REGIONNAME
CRSS,2024,nmcrash.csv,9,URBANICITY
CRSS,2024,nmcrash.csv,10,URBANICITYNAME
CRSS,2024,nmcrash.csv,11,STRATUM
CRSS,2024,nmcrash.csv,12,STRATUMNAME
CRSS,2024,nmcrash.csv,13,PJ
CRSS,2024,nmcrash.csv,14,WEIGHT
CRSS,2024,nmcrash.csv,15,NMCC
CRSS,2024,nmcrash.csv,16,NMCCNAME
CRSS,2024,nmdistract.csv,1,CASENUM
CRSS,2024,nmdistract.csv,2,VEH_NO
CRSS,2024,nmdistract.csv,3,PER_NO
CRSS,2024,nmdistract.csv,4,PSU
CRSS,2024,nmdistract.csv,5,PSU_VAR
CRSS,2024,nmdistract.csv,6,PSUSTRAT
CRSS,2024,nmdistract.csv,7,REGION
CRSS,2024,nmdistract.csv,8,REGIONNAME
CRSS,2024,nmdistract.csv,9,URBANICITY
CRSS,2024,nmdistract.csv,10,URBANICITYNAME
CRSS,2024,nmdistract.csv,11,STRATUM
CRSS,2024,nmdistract.csv,12,STRATUMNAME
CRSS,2024,nmdistract.csv,13,PJ
CRSS,2024,nmdistract.csv,14,WEIGHT
CRSS,2024,nmdistract.csv,15,NMDISTRACT
CRSS,2024,nmdistract.csv,16,NMDISTRACTNAME
CRSS,2024,nmimpair.csv,1,CASENUM
CRSS,2024,nmimpair.csv,2,VEH_NO
CRSS,2024,nmimpair.csv,3,PER_NO
CRSS,2024,nmimpair.csv,4,PSU
CRSS,2024,nmimpair.csv,5,PSU_VAR
CRSS,2024,nmimpair.csv,6,PSUSTRAT
CRSS,2024,nmimpair.csv,7,REGION
CRSS,2024,nmimpair.csv,8,REGIONNAME
CRSS,2024,nmimpair.csv,9,URBANICITY
CRSS,2024,nmimpair.csv,10,URBANICITYNAME
CRSS,2024,nmimpair.csv,11,STRATUM
CRSS,2024,nmimpair.csv,12,STRATUMNAME
CRSS,2024,nmimpair.csv,13,PJ
CRSS,2024,nmimpair.csv,14,WEIGHT
CRSS,2024,nmimpair.csv,15,NMIMPAIR
CRSS,2024,nmimpair.csv,16,NMIMPAIRNAME
CRSS,2024,nmprior.csv,1,CASENUM
CRSS,2024,nmprior.csv,2,VEH_NO
CRSS,2024,nmprior.csv,3,PER_NO
CRSS,2024,nmprior.csv,4,PSU
CRSS,2024,nmprior.csv,5,PSU_VAR
CRSS,2024,nmprior.csv,6,PSUSTRAT
CRSS,2024,nmprior.csv,7,REGION
CRSS,2024,nmprior.csv,8,REGIONNAME
CRSS,2024,nmprior.csv,9,URBANICITY
CRSS,2024,nmprior.csv,10,URBANICITYNAME
CRSS,2024,nmprior.csv,11,STRATUM
CRSS,2024,nmprior.csv,12,STRATUMNAME
CRSS,2024,nmprior.csv,13,PJ
CRSS,2024,nmprior.csv,14,WEIGHT
CRSS,2024,nmprior.csv,15,NMACTION
CRSS,2024,nmprior.csv,16,NMACTIONNAME
CRSS,2024,parkwork.csv,1,CASENUM
CRSS,2024,parkwork.csv,2,VEH_NO
CRSS,2024,parkwork.csv,3,PSU
CRSS,2024,parkwork.csv,4,PSU_VAR
CRSS,2024,parkwork.csv,5,PSUSTRAT
CRSS,2024,parkwork.csv,6,REGION
CRSS,2024,parkwork.csv,7,REGIONNAME
CRSS,2024,parkwork.csv,8,URBANICITY
CRSS,2024,parkwork.csv,9,URBANICITYNAME
CRSS,2024,parkwork.csv,10,STRATUM
CRSS,2024,parkwork.csv,11,STRATUMNAME
CRSS,2024,parkwork.csv,12,PJ
CRSS,2024,parkwork.csv,13,WEIGHT
CRSS,2024,parkwork.csv,14,PVE_FORMS
CRSS,2024,parkwork.csv,15,PMONTH
CRSS,2024,parkwork.csv,16,PMONTHNAME
CRSS,2024,parkwork.csv,17,PHOUR
CRSS,2024,parkwork.csv,18,PHOURNAME
CRSS,2024,parkwork.csv,19,PMINUTE
CRSS,2024,parkwork.csv,20,PMINUTENAME
CRSS,2024,parkwork.csv,21,PHARM_EV
CRSS,2024,parkwork.csv,22,PHARM_EVNAME
CRSS,2024,parkwork.csv,23,PMAN_COLL
CRSS,2024,parkwork.csv,24,PMAN_COLLNAME
CRSS,2024,parkwork.csv,25,PNUMOCCS
CRSS,2024,parkwork.csv,26,PNUMOCCSNAME
CRSS,2024,parkwork.csv,27,PTYPE
CRSS,2024,parkwork.csv,28,PTYPENAME
CRSS,2024,parkwork.csv,29,PHIT_RUN
CRSS,2024,parkwork.csv,30,PHIT_RUNNAME
CRSS,2024,parkwork.csv,31,PVIN
CRSS,2024,parkwork.csv,32,PVINNAME
CRSS,2024,parkwork.csv,33,PMODYEAR
CRSS,2024,parkwork.csv,34,PMODYEARNAME
CRSS,2024,parkwork.csv,35,PVPICMAKE
CRSS,2024,parkwork.csv,36,PVPICMAKENAME
CRSS,2024,parkwork.csv,37,PVPICMODEL
CRSS,2024,parkwork.csv,38,PVPICMODELNAME
CRSS,2024,parkwork.csv,39,PVPICBODYCLASS
CRSS,2024,parkwork.csv,40,PVPICBODYCLASSNAME
CRSS,2024,parkwork.csv,41,PMAKE
CRSS,2024,parkwork.csv,42,PMAKENAME
CRSS,2024,parkwork.csv,43,PMODEL
CRSS,2024,parkwork.csv,44,PBODYTYP
CRSS,2024,parkwork.csv,45,PBODYTYPNAME
CRSS,2024,parkwork.csv,46,PICFINALBODY
CRSS,2024,parkwork.csv,47,PICFINALBODYNAME
CRSS,2024,parkwork.csv,48,PGVWR_FROM
CRSS,2024,parkwork.csv,49,PGVWR_FROMNAME
CRSS,2024,parkwork.csv,50,PGVWR_TO
CRSS,2024,parkwork.csv,51,PGVWR_TONAME
CRSS,2024,parkwork.csv,52,PTRAILER
CRSS,2024,parkwork.csv,53,PTRAILERNAME
CRSS,2024,parkwork.csv,54,PTRLR1VIN
CRSS,2024,parkwork.csv,55,PTRLR1VINNAME
CRSS,2024,parkwork.csv,56,PTRLR2VIN
CRSS,2024,parkwork.csv,57,PTRLR2VINNAME
CRSS,2024,parkwork.csv,58,PTRLR3VIN
CRSS,2024,parkwork.csv,59,PTRLR3VINNAME
CRSS,2024,parkwork.csv,60,PTRLR1GVWR
CRSS,2024,parkwork.csv,61,PTRLR1GVWRNAME
CRSS,2024,parkwork.csv,62,PTRLR2GVWR
CRSS,2024,parkwork.csv,63,PTRLR2GVWRNAME
CRSS,2024,parkwork.csv,64,PTRLR3GVWR
