table,variable,rows,pandas_nan,coded_screening_values,physical_values,nan_pct,coded_pct
accident.csv,PEDS,51658,0,0,51658,0.0,0.0
accident.csv,HARM_EV,51658,0,4489,47169,0.0,8.6898
accident.csv,MAN_COLL,51658,0,1200,50458,0.0,2.323
person.csv,AGE,126159,0,8836,117323,0.0,7.0039
person.csv,SEX,126159,0,5708,120451,0.0,4.5244
person.csv,INJ_SEV,126159,0,4532,121627,0.0,3.5923
person.csv,SEAT_POS,126159,0,2080,124079,0.0,1.6487
person.csv,REST_USE,126159,0,14043,112116,0.0,11.1312
person.csv,REST_MIS,126159,0,5249,120910,0.0,4.1606
person.csv,HELM_USE,126159,0,328,125831,0.0,0.26
person.csv,HELM_MIS,126159,0,5249,120910,0.0,4.1606
person.csv,AIR_BAG,126159,0,26136,100023,0.0,20.7167
person.csv,EJECTION,126159,0,9355,116804,0.0,7.4152
person.csv,HOSPITAL,126159,0,1835,124324,0.0,1.4545
person.csv,ROLLOVER,126159,5249,0,120910,4.1606,0.0
person.csv,IMPACT1,126159,5249,0,120910,4.1606,0.0
person.csv,FIRE_EXP,126159,5249,0,120910,4.1606,0.0
person.csv,HARM_EV,126159,0,10027,116132,0.0,7.9479
person.csv,MAN_COLL,126159,0,3259,122900,0.0,2.5832
vehicle.csv,HARM_EV,90641,0,4552,86089,0.0,5.022
vehicle.csv,MAN_COLL,90641,0,2483,88158,0.0,2.7394
vehicle.csv,TRAV_SP,90641,0,49954,40687,0.0,55.1119
vehicle.csv,ROLLOVER,90641,0,3178,87463,0.0,3.5061
vehicle.csv,IMPACT1,90641,0,4977,85664,0.0,5.4909
vehicle.csv,DEFORMED,90641,0,3758,86883,0.0,4.146
vehicle.csv,FIRE_EXP,90641,0,0,90641,0.0,0.0
vehicle.csv,SPEEDREL,90641,0,2838,87803,0.0,3.131
vehicle.csv,VTRAFWAY,90641,0,11551,79090,0.0,12.7437
vehicle.csv,VNUM_LAN,90641,0,19451,71190,0.0,21.4594
vehicle.csv,VSPD_LIM,90641,0,14364,76277,0.0,15.8471
vehicle.csv,VALIGN,90641,0,2672,87969,0.0,2.9479
vehicle.csv,VPROFILE,90641,0,14606,76035,0.0,16.1141
vehicle.csv,VSURCOND,90641,0,11332,79309,0.0,12.5021
vehicle.csv,VTRAFCON,90641,0,322,90319,0.0,0.3552
vehicle.csv,ACC_TYPE,90641,0,8033,82608,0.0,8.8624
vision.csv,VISION,90668,0,1346,89322,0.0,1.4845
weather.csv,WEATHER,52032,0,1625,50407,0.0,3.1231
