"dataset","year","table","column_position","variable","role","family","identifier_flag","name_field_flag","survey_design_flag","candidate_feature","candidate_target","candidate_context","cyber_physical_relevance","occupant_relevance","vehicle_relevance","event_relevance","requires_codebook_verification","tier","verification_priority"
"CRSS","2024","accident.csv","13","PEDS","candidate_feature","crash_context","False","False","False","True","False","False","False","True","False","False","True","Tier-1","HIGH"
"CRSS","2024","accident.csv","35","HARM_EV","candidate_feature","crash_context","False","False","False","True","False","False","False","False","False","True","True","Tier-1","HIGH"
"CRSS","2024","accident.csv","37","EVENT1_IM","candidate_feature","crash_context","False","False","False","True","False","False","True","False","False","True","True","Tier-1","HIGH"
"CRSS","2024","accident.csv","39","MAN_COLL","candidate_feature","crash_context","False","False","False","True","False","False","False","False","False","True","True","Tier-1","HIGH"
"CRSS","2024","accident.csv","61","WEATHER","candidate_feature","crash_context","False","False","False","True","False","False","False","False","False","False","False","Tier-1","HIGH"
"CRSS","2024","accident.csv","73","NUM_INJ","candidate_target","crash_context","False","False","False","False","True","False","False","True","False","False","True","Tier-1","HIGH"
"CRSS","2024","accident.csv","75","NO_INJ_IM","candidate_target","crash_context","False","False","False","False","True","False","False","True","False","False","True","Tier-1","HIGH"
"CRSS","2024","person.csv","22","HARM_EV","candidate_feature","occupant_person","False","False","False","True","False","False","False","False","False","True","True","Tier-1","HIGH"
"CRSS","2024","person.csv","24","MAN_COLL","candidate_feature","occupant_person","False","False","False","True","False","False","False","False","False","True","True","Tier-1","HIGH"
"CRSS","2024","person.csv","48","AGE","candidate_feature","occupant_person","False","False","False","True","False","False","False","True","False","False","True","Tier-1","HIGH"
"CRSS","2024","person.csv","52","SEX","candidate_feature","occupant_person","False","False","False","True","False","False","False","True","False","False","True","Tier-1","HIGH"
"CRSS","2024","person.csv","62","INJ_SEV","candidate_target","occupant_person","False","False","False","False","True","False","False","True","False","False","True","Tier-1","HIGH"
"CRSS","2024","person.csv","66","SEAT_POS","candidate_feature","occupant_person","False","False","False","True","False","False","False","True","False","False","True","Tier-1","HIGH"
"CRSS","2024","person.csv","70","REST_USE","candidate_feature","occupant_person","False","False","False","True","False","False","False","True","False","False","True","Tier-1","HIGH"
"CRSS","2024","person.csv","72","REST_MIS","candidate_feature","occupant_person","False","False","False","True","False","False","False","True","False","False","True","Tier-1","HIGH"
"CRSS","2024","person.csv","74","HELM_USE","candidate_feature","occupant_person","False","False","False","True","False","False","False","True","False","False","True","Tier-1","HIGH"
"CRSS","2024","person.csv","76","HELM_MIS","candidate_feature","occupant_person","False","False","False","True","False","False","False","True","False","False","True","Tier-1","HIGH"
"CRSS","2024","person.csv","78","AIR_BAG","candidate_feature","occupant_person","False","False","False","True","False","False","False","True","False","False","True","Tier-1","HIGH"
"CRSS","2024","person.csv","80","EJECTION","candidate_feature","occupant_person","False","False","False","True","False","False","False","True","False","False","True","Tier-1","HIGH"
"CRSS","2024","person.csv","82","EJECT_IM","candidate_feature","occupant_person","False","False","False","True","False","False","False","True","False","False","True","Tier-1","HIGH"
"CRSS","2024","person.csv","96","HOSPITAL","candidate_feature","occupant_person","False","False","False","True","False","False","False","True","False","False","True","Tier-1","HIGH"
"CRSS","2024","person.csv","105","ROLLOVER","candidate_feature","occupant_person","False","False","False","True","False","False","True","False","True","False","True","Tier-1","HIGH"
"CRSS","2024","person.csv","107","IMPACT1","candidate_feature","occupant_person","False","False","False","True","False","False","True","False","True","False","True","Tier-1","HIGH"
"CRSS","2024","person.csv","109","FIRE_EXP","candidate_feature","occupant_person","False","False","False","True","False","False","False","False","True","False","True","Tier-1","HIGH"
"CRSS","2024","vehicle.csv","21","HARM_EV","candidate_feature","vehicle","False","False","False","True","False","False","False","False","False","True","True","Tier-1","HIGH"
"CRSS","2024","vehicle.csv","23","MAN_COLL","candidate_feature","vehicle","False","False","False","True","False","False","False","False","False","True","True","Tier-1","HIGH"
"CRSS","2024","vehicle.csv","96","TRAV_SP","candidate_feature","vehicle","False","False","False","True","False","False","True","False","True","False","True","Tier-1","HIGH"
"CRSS","2024","vehicle.csv","100","ROLLOVER","candidate_feature","vehicle","False","False","False","True","False","False","True","False","True","False","True","Tier-1","HIGH"
"CRSS","2024","vehicle.csv","104","IMPACT1","candidate_feature","vehicle","False","False","False","True","False","False","True","False","True","False","True","Tier-1","HIGH"
"CRSS","2024","vehicle.csv","108","DEFORMED","candidate_feature","vehicle","False","False","False","True","False","False","False","False","True","False","True","Tier-1","HIGH"
"CRSS","2024","vehicle.csv","116","FIRE_EXP","candidate_feature","vehicle","False","False","False","True","False","False","False","False","True","False","True","Tier-1","HIGH"
"CRSS","2024","vehicle.csv","124","NUM_INJV","candidate_target","vehicle","False","False","False","False","True","False","False","True","False","False","True","Tier-1","HIGH"
"CRSS","2024","vehicle.csv","136","SPEEDREL","candidate_feature","vehicle","False","False","False","True","False","False","True","False","True","False","True","Tier-1","HIGH"
"CRSS","2024","vehicle.csv","138","VTRAFWAY","candidate_feature","vehicle","False","False","False","True","False","False","False","False","True","False","True","Tier-1","HIGH"
"CRSS","2024","vehicle.csv","140","VNUM_LAN","candidate_feature","vehicle","False","False","False","True","False","False","False","False","True","False","True","Tier-1","HIGH"
