dataset,year,table,variable,role,family,manual_page,manual_text
CRSS,2024,accident.csv,PEDS,candidate_feature,crash_context,67,"Number of Forms Submitted for Persons Not in Motor Vehicles  
C3 
57 
2024 FARS/CRSS Coding and Validation Manual 
C3. Number of Forms Submitted for Persons Not in Motor Vehicles 
Format 
2 numeric 
SAS Name 
Accident.PEDS 
Element Values 
Codes 
Attributes 
00-99 
Actual Number 
Definition 
This element records the number of Person (Not a Motor Vehicle Occupant) Level forms that are 
applicable to this case. 
Remarks 
This count will match exactly the people counted in the case structure field Number of Persons 
Not in Motor Vehicles. Occupants of any motor vehicle in-transport, parked/stopped off roadway 
motor vehicles, working motor vehicles, or motor vehicles in motion outside the trafficway will 
not be counted in this field.  
The count for this field includes: 
1. Occupants of a Non-Motor Vehicle Transport Device (people riding in an animal-drawn 
conveyance, on an animal, injured occupants of railway trains)—PERSON TYPE code 
04. 
2. Pedestrians, Bicyclists, and Other Pedalcyclists—PERSON TYPE codes 05, 06, and 07. 
3. People on Personal Conveyances (e.g., skaters, wheelchair occupants)—PERSON TYPE 
code 08. 
4. Any injured people outside the trafficway that are not in a motor vehicle (in buildings)—
PERSON TYPE code 10 (Person In/On a Building). 
For Consistency Checks see Understanding and Managing Consistency Checks and Number 
of Forms Submitted for Persons Not in Motor Vehicles."
CRSS,2024,accident.csv,HARM_EV,candidate_feature,crash_context,103,"First Harmful Event 
C19 
93 
2024 FARS/CRSS Coding and Validation Manual 
C19. First Harmful Event 
Format 
2 numeric 
SAS Name 
Accident.HARM_EV, Vehicle.HARM_EV, Person.HARM_EV, Parkwork.PHARM_EV 
Element Values 
Non-Collision Harmful Events: 
Codes 
Attributes 
01 
Rollover/Overturn 
02 
Fire/Explosion 
03 
Immersion or Partial Immersion 
04 
Gas Inhalation 
51 
Jackknife (harmful to this vehicle) 
06 
Injured in Vehicle (Non-Collision) 
44 
Pavement Surface Irregularity (Ruts, Potholes, Grates, etc.) 
07 
Other Non-Collision 
16 
Thrown or Falling Object 
72 
Cargo/Equipment Loss, Shift, or Damage (harmful) 
05 
Fell/Jumped from Vehicle  
Collision With Motor Vehicle In-Transport: 
Codes 
Attributes 
12 
Motor Vehicle In-Transport  
54 
Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons, or Objects 
Set in Motion from/by Another Motor Vehicle In-Transport 
55 
Motor Vehicle in Motion Outside the Trafficway 
Collision With Object Not Fixed: 
Codes 
Attributes 
08 
Pedestrian 
09 
Pedalcyclist 
10 
Railway Vehicle 
74 
Road Vehicle on Rails 
11 
Live Animal"
CRSS,2024,accident.csv,MAN_COLL,candidate_feature,crash_context,117,"Manner of Collision of the First Harmful Event 
C20 
107 
2024 FARS/CRSS Coding and Validation Manual 
C20. Manner of Collision of the First Harmful Event 
Format 
2 numeric 
SAS Name 
Accident.MAN_COLL, Vehicle.MAN_COLL, Person.MAN_COLL, Parkwork.PMAN_COLL 
Element Values 
Codes 
Attributes 
00 
The First Harmful Event was Not a Collision with a Motor Vehicle In-Transport 
01 
Front-to-Rear 
02 
Front-to-Front 
06 
Angle 
07 
Sideswipe-Same Direction 
08 
Sideswipe-Opposite Direction 
09 
Rear-to-Side 
10 
Rear-to-Rear 
11 
Other 
98 
Not Reported 
99 
Reported as Unknown 
Definition 
This element identifies the orientation of two motor vehicles in-transport when they are involved 
in the FIRST HARMFUL EVENT of a collision crash. If the FIRST HARMFUL EVENT is not 
a collision between two motor vehicles in-transport, it is classified as such. 
Remarks 
00 (The First Harmful Event was Not a Collision with a Motor Vehicle In-Transport) is 
used when the FIRST HARMFUL EVENT is not an impact between two in-transport motor 
vehicles. 
01 (Front-to-Rear) is used when a collision occurs between the rear of one vehicle and the front 
of another vehicle. If this attribute is selected, the points of impact for the vehicles involved in 
the FIRST HARMFUL EVENT must be front to back.  
02 (Front-to-Front) is used when a collision occurs between the front end of one vehicle and the 
front end of another vehicle. If this attribute is selected, the points of impact for the vehicles 
involved in the FIRST HARMFUL EVENT must both be front."
CRSS,2024,accident.csv,WEATHER,candidate_feature,crash_context,142,"Atmospheric Conditions 
C26 
132 
2024 FARS/CRSS Coding and Validation Manual 
C26. Atmospheric Conditions 
Format 
2 numeric. Select All That Apply. 
SAS Name 
Weather.WEATHER 
Element Values 
Codes 
Attributes 
01 
Clear 
10 
Cloudy 
02 
Rain 
03 
Sleet or Hail  
12 
Freezing Rain or Drizzle 
04 
Snow  
11 
Blowing Snow 
05 
Fog, Smog, Smoke 
06 
Severe Crosswinds 
07 
Blowing Sand, Soil, Dirt 
08 
Other  
98 
Not Reported 
99 
Reported as Unknown 
Definition 
This element identifies the prevailing atmospheric conditions that existed at the time of the crash 
as recorded on the police crash report. 
Remarks 
If the case material attributes are a combination of the above attributes (e.g., Clear/Cloudy, Clear 
or Cloudy, Sleet/Hail/Freezing Rain, Snow/Sleet/Hail), and you cannot determine which was the 
prevalent weather condition, then code 98 (Not Reported). 
Temperature is not an atmospheric condition for the purposes of this element. 
When coding this element, do not interpret indication of Rain, Sleet, or Snow as also Cloudy. 
Cloudy must be explicitly stated in the case materials."
CRSS,2024,accident.csv,WEATHER,candidate_feature,crash_context,200,"vPIC Body Class 
V13 
190 
2024 FARS/CRSS Coding and Validation Manual 
013 (Sedan/Saloon) refers to a passenger car equipped usually with four doors for ingress/egress 
and a separate trunk area for cargo (e.g., trunk lid hinged below the backlight). Folding rear seats 
do not necessarily violate the separate “trunk area” concept. Sedan/Saloon can sometimes have 
only two doors. If it is not clear whether the vehicle is a 003 (Coupe) or 013 (Sedan/Saloon), 
code as 013 (Sedan/Saloon). 
015 (Wagon) refers to a passenger car with an enlarged cargo area. The entire roof covering the 
cargo area is generally equal in height from front to rear and full height side glass is installed 
between the C and D-pillars. The rearmost area is not permanently partitioned from the forward 
passenger compartment area (e.g., “horizontal window shades” to hide cargo do not constitute 
partitions). 
016 (Bus) means a motor vehicle with motive power, except a trailer, designed for carrying more 
than 10 people per 49 CFR§ 571.3. 068 (Streetcar / Trolley) or 73 (Bus - School Bus) are 
categorized separately. 
060 (Pickup) is a single-unit straight truck with a pickup body style. The pickup truck may be 
equipped with a removable or retractable roof. 060 (Pickup) includes light, medium, and heavy 
pickup body styles. 
066 (Truck-Tractor) describes a fifth-wheel-equipped tractor-trailer power unit. The number of 
trailing units is not a consideration. Without a trailer, it is sometimes called a Bobtail. 
068 (Streetcar / Trolley) A vehicle used primarily for transporting passengers and typically 
operating on city streets. This vehicle must have tires. Do NOT use this attribute for street 
cars/trolleys operating on rails. See Section 203. How to Structure a Case, Step 1: Number of 
Persons Not in Motor Vehicles. 
069 (Off-road Vehicle - All Terrain Vehicle (ATV) (Motorcycle-style)) is used for off-road 
recreational vehicles. ATV/ATCs have three or four wheels, a saddle type seat, and handlebars 
for steering (no steering wheel). Does not include 105 (Off-road Vehicle - Multipurpose Off-
Highway Utility Vehicle [MOHUV] or Recreational Off-Highway Vehicle [ROV]).  
073 (Bus - School Bus) (designed to carry students, not cross-country or transit) is a bus 
designed to carry passengers to and from educational facilities and/or related functions. Use this 
code regardless of whether the vehicle is owned by a school system or a private company. 
School buses converted for other uses (e.g., church bus) also take this code. 
080 (Motorcycle - Sport) is used when a motor vehicle having a seat or saddle for the use of its 
operator is a two-wheeled open (e.g., no enclosed body) vehicle propelled by a motor 
specifically optimized for speed, acceleration, braking, and cornering on paved roads. 
081 (Motorcycle - Touring / Sport Touring) are specifically designed to excel at covering long 
distances. They have large-displacement engines, fairings and screens that offer good weather 
and wind protection, large-capacity fuel tanks for long ranges between fill-ups, and a relaxed, 
upright seating position. 
082 (Motorcycle - Cruiser) are motorcycles usually with large-displacement V-twin engines 
with a riding position that places the feet forward and the hands relatively high."
CRSS,2024,accident.csv,WEATHER,candidate_feature,crash_context,367,"Speeding Related 
D22 
357 
2024 FARS/CRSS Coding and Validation Manual 
apply in a case where law enforcement reports actual or estimated speed as unknown and still 
identifies exceeding the speed limit as a factor. 
4 (Yes, Too Fast for Conditions) is used when a vehicle is traveling at a speed that is unsafe for 
the road, weather, traffic, or other environmental conditions at the time.  
5 (Yes, Specifics Unknown) is used when it is known that speed or speeding applies, but it 
cannot be determined which of the more specific attributes apply. When the only known 
information is “traveling at a high rate of speed” or “speed was a factor,” default to 5 (Yes, 
Specifics Unknown). 
9 (Reported as Unknown) is used if the police state that the circumstances of the crash are 
unknown (i.e., it is unknown what factors, if any, may have been present at the time of the 
crash). 
For Consistency Checks see Understanding and Managing Consistency Checks and D22 
Speeding Related."
CRSS,2024,accident.csv,WEATHER,candidate_feature,crash_context,377,"Related Factors—Driver Level 
D24 
367 
2024 FARS/CRSS Coding and Validation Manual 
Examples include: 
• Following a fire truck too closely. 
• Failure to maintain a safe passing distance between trucks. 
• Following another vehicle in a caravan too closely to allow entry by a merging vehicle. 
• Following too close, generally. Also, code for cases where the case materials document 
the vehicle was following too closely for weather conditions. 
Note: 026 (Following Improperly) denotes “after or before the process of lane change” while 
027 (Improper or Erratic Lane Changing) signifies “in the process.” 
*027 (Improper or Erratic Lane Changing) is used when the case materials identify this driver 
was making unsafe lane changes or failed to obey a “no lane change” sign or pavement marking 
prohibiting lane change. This may also be used in cases where the officer states the vehicle was 
weaving in and out of traffic. 
*028 (Improper Lane Usage) is used when the case materials identify this driver failed to 
properly keep their vehicle in the appropriate lane of travel. This attribute does not apply to 
vehicles that run off the roadway, cross the median, or exhibit control loss before crossing the 
centerline. Also do not use this value for a vehicle that leaves its lane because of a previous 
impact, when a vehicle leaves its lane during an avoidance maneuver, or at the direction of a 
flagman or police officer. For situations where the vehicle is on the wrong side as a result of a 
passing maneuver, see 033 (Passing Where Prohibited by Posted Signs, Pavement Markings, 
or School Bus Displaying Warning Not to Pass). See 051 (Driving on Wrong Side of Two-
Way Trafficway [Intentional or Unintentional]) for Driving on Wrong Side of Road. 
Examples include: 
• A vehicle that “drove left of center” striking an oncoming vehicle (includes both crossing 
a painted centerline and failing to maintain the proper side of a two-lane roadway with no 
painted centerline). 
• A vehicle that goes straight in a turn lane. 
• A vehicle that was using more than one lane on its side of a multi-lane highway. 
• Trucks, buses, or slow vehicles failing to keep right for faster moving traffic. 
029 (Intentional Illegal Driving Off the Roadway) is used when the case materials identify this 
driver was intentionally illegally driving in a location off the roadway (shoulder, median, 
roadside, etc.). This attribute should not be used when the vehicle enters one of these locations as 
part of an avoidance maneuver or as a result of a critical or harmful event. Also do not use this 
value for a vehicle that leaves its lane at the direction of a flagman or police officer. 
*030 (Making Improper Entry to or Exit from Trafficway) is used when the case materials 
identify this driver made an improper entry to or exit from the trafficway. For improper entry of 
the roadway from a parked or stopped position see 031 (Starting or Backing Improperly). 
Examples include: 
• Driving onto or from a controlled access highway where prohibited. 
• A vehicle entering a highway from a roadside location like a front yard, adjacent pasture, 
or field."
CRSS,2024,accident.csv,WEATHER,candidate_feature,crash_context,402,"Precrash Data Overview 
392 
2024 FARS/CRSS Coding and Validation Manual 
Precrash Element 
Vehicle 1 
Driver Distracted By 
Not Distracted 
Pre-Event Movement 
Going Straight 
Critical Precrash (Category) 
This Vehicle Loss of Control Due To: 
Critical Precrash (Event) 
Suddenly Encountered Poor Road Conditions 
(Specify:) 
Attempted Avoidance Maneuver 
Braking and Steering Right 
Pre-Impact Stability 
Skidding Laterally Clockwise Rotation 
Pre-Impact Location 
Departed Roadway 
Crash Type 
02 
Vehicle 1’s Critical Crash Envelope (V1CCE) begins when the vehicle encounters the black ice 
and ends at impact with the pole. 
The Critical Event in this example is This Vehicle Control Loss Due To: Poor Road Conditions 
(Specify: (Black ice)). 
It can be difficult to determine the Critical Event in cases when weather, road conditions, 
roadway alignment, and speed all potentially play a role in the crash. Examples 7 and 8 are 
prime examples, Poor Road Conditions, Too Fast For Conditions, or This Vehicle Traveling 
category attributes (e.g., Off the Edge of the Road on the Right Side) could be selected based on 
the circumstances. 
Typically, Poor Road Conditions such as ice and puddles are “suddenly” encountered by the 
driver and not an ongoing situation. 
Too Fast for Conditions applies when the vehicle’s movement and speed were not appropriate 
relative to the vehicle’s surroundings; roadway curves are often involved. 
If neither of these Loss of Control Critical Events apply, then This Vehicle Traveling Category 
attributes are appropriate.  
Example 8 
Example 8 Diagram 
 
Vehicle 1 is traveling on a two-lane roadway with heavy rain falling. Police estimate the driver 
was traveling 55 mph in this 35-mph speed zone. While negotiating a curve, the driver loses"
CRSS,2024,accident.csv,WEATHER,candidate_feature,crash_context,415,"Precrash Data Overview 
405 
2024 FARS/CRSS Coding and Validation Manual 
Distraction (Distracted), Details Unknown is selected for Vehicle 1 Driver Distracted By. 
Police reported the driver was distracted, although the specific distraction was not identified.  
The presence of rain and fog does not affect Vehicle 1’s Critical Event of This Vehicle 
Traveling-Off The Edge of the Road On the Right Side in this case. Do not assume that This 
Vehicle Loss of Control Critical Events such as Poor Road Conditions or Traveling Too Fast 
for Conditions are always selected just because the weather and/or road conditions were not 
optimal. 
When determining Crash Type, it is important to keep in mind that some Crash 
Configurations are plane of impact dependent, while others are not. In this case the Crash Type 
for both vehicles are 48, Sideswipe/Angle: Specifics Other. The vehicles were traveling in the 
same trafficway in the same direction (Crash Type Category II) and the impact involved the side 
of one or both of the vehicles (Crash Type Configuration F). If the impact had been front to rear, 
Crash Configuration D (Rear-End) would have applied. 
Example 17 
Example 17 Diagram 
 
Vehicle 1 is traveling eastbound. A non-contact vehicle (NCV) is westbound and attempts to turn 
left in front of Vehicle 1 into an intersecting private driveway. Vehicle 1 braked and steered left 
to avoid the non-contact vehicle. The driver of Vehicle 1 successfully avoided the non-contact 
vehicle and maintained full control but crossed into the westbound lane. Now traveling the 
wrong way in the westbound lane, Vehicle 1 recognized that Vehicle 2 was in his path and 
attempted to steer right and return to the eastbound lane but struck Vehicle 2 head on. Vehicle 2 
attempted to avoid the crash by braking and steering right. The crash report was coded as “Not 
Distracted” for both drivers. 
Precrash Element 
Vehicle 1 
Vehicle 2 
Driver Distracted By 
Not Distracted 
Not Distracted 
Pre-Event Movement 
Successful Avoidance 
Maneuver to a Previous 
Critical Event 
Going Straight 
Critical Precrash (Category) 
Other Motor Vehicle in Lane 
Other Motor Vehicle in Lane 
Critical Precrash (Event) 
Traveling in Opposite 
Direction 
Traveling in Opposite 
Direction"
CRSS,2024,accident.csv,WEATHER,candidate_feature,crash_context,468,"Critical Event—Precrash (Event) 
PC19 
458 
2024 FARS/CRSS Coding and Validation Manual 
04 (Non-Disabling Vehicle Problem [e.g., Hood Flew Up] [Specify:]) is selected when some 
mechanical abnormality suddenly occurred to this vehicle that leads to the critical reason for the 
collision. The abnormality must not be disabling damage. For bald tires, see 06 (Traveling Too 
Fast for Conditions or Road Configuration). (See Note: For attributes with “Specify:” 
designation at the beginning of Remarks section for this element.) 
05 (Suddenly Encountered Poor Road Conditions [Puddle, Pothole, Ice, Etc.] [Specify:]) 
captures control loss due to suddenly encountered environmental conditions of the roadway and 
not ongoing situations. For ongoing situations, see 06 (Traveling Too Fast for Conditions or 
Road Configuration). These conditions must have initiated the precrash event which resulted in 
the collision. (See Note: For attributes with “Specify:” designation at the beginning of Remarks 
section for this element.) 
06 (Traveling Too Fast for Conditions or Road Configuration) identifies this vehicle’s 
movement and speed were not appropriate relative to its surroundings in which the subsequent 
loss of control led to the collision. This attribute applies when the loss of control is due to a 
vehicle traveling at a speed that was unsafe for the road configuration or conditions and has no 
bearing on the SPEED LIMIT. The officer does not necessarily have to indicate that speed was a 
factor in the crash, and therefore this attribute is independent of SPEEDING RELATED. This 
attribute may also be used in situations where there are no adverse weather and/or road surface 
conditions. 
Examples include: 
• A roadway departure on a curve where the driver failed to negotiate and departed the 
roadway, resulting in an impact. If the driver merely steered straight while in a curve and 
departed the roadway, the category This Vehicle Traveling may apply. 
• The vehicle loses control (hydroplanes) on a wet roadway (can be due to bald tires). 
08 (Other Cause of Control Loss [Specify:]) is selected when it was determined that this 
vehicle’s loss of control was the primary reason that made the event critical, and the above 
attributes do not adequately identify the control-loss condition. If control is lost due to driver 
illness, such as heart attacks, diabetic comas, etc., then CRITICAL EVENT—PRECRASH 
(EVENT) should be coded as 08 (Other Cause of Control Loss [Specify:]). This attribute should 
not be used for drivers who are impaired by alcohol and/or drugs unless the driver’s 
CONDITION (IMPAIRMENT) AT TIME OF CRASH equals 01 (Ill, Blackout). (See Note: For 
attributes with “Specify:” designation at the beginning of Remarks section for this element.) 
09 (Unknown Cause of Control Loss) is selected when it is known control loss made the 
situation critical, but it is unknown whether the vehicle or the environment caused the control 
loss. 
This Vehicle Traveling 
These attributes identify situations where the critical factor leading to the collision involved the 
travel path of this vehicle.  
10 (Over the Lane Line on Left Side of Travel Lane) is selected when this vehicle departs its 
lane to the left and is entering or had entered the adjoining lane, shoulder, or designated bike 
lane. The change of travel path by this vehicle must precipitate the critical event for the collision."
