dataset,year,table,variable,role,family,manual_match_count,manual_pages,manual_verified,official_definition,official_codes,unit_or_scale,missing_codes,physical_safety_relevance,cyber_physical_relevance,occupant_relevance,vehicle_relevance,adas_relevance,feature_role,verification_notes
CRSS,2024,accident.csv,PEDS,candidate_feature,crash_context,1,67,YES,,,,,,,,,,,
CRSS,2024,accident.csv,HARM_EV,candidate_feature,crash_context,1,103,YES,,,,,,,,,,,
CRSS,2024,accident.csv,EVENT1_IM,candidate_feature,crash_context,0,,NO,,,,,,,,,,,
CRSS,2024,accident.csv,MAN_COLL,candidate_feature,crash_context,1,117,YES,,,,,,,,,,,
CRSS,2024,accident.csv,WEATHER,candidate_feature,crash_context,8,142;200;367;377;402;415;468;607,YES,,,,,,,,,,,
CRSS,2024,accident.csv,NUM_INJ,candidate_target,crash_context,0,,NO,,,,,,,,,,,
CRSS,2024,accident.csv,NO_INJ_IM,candidate_target,crash_context,0,,NO,,,,,,,,,,,
CRSS,2024,person.csv,HARM_EV,candidate_feature,occupant_person,1,103,YES,,,,,,,,,,,
CRSS,2024,person.csv,MAN_COLL,candidate_feature,occupant_person,1,117,YES,,,,,,,,,,,
CRSS,2024,person.csv,AGE,candidate_feature,occupant_person,53,7;8;19;37;41;55;61;338;339;381;384;510;513;514;536;609;614;617;668;790;824;976;977;978;995;1037;1038;1039;1043;1044;1045;1050;1057;1058;1061;1078;1084;1097;1133;1134;1148;1169;1173;1176;1180;1201;1204;1208;1209;1221;1222;1223;1224,YES,,,,,,,,,,,
CRSS,2024,person.csv,SEX,candidate_feature,occupant_person,22,7;8;38;41;55;510;515;516;614;618;790;995;1038;1039;1044;1078;1084;1133;1169;1180;1222;1223,YES,,,,,,,,,,,
CRSS,2024,person.csv,INJ_SEV,candidate_target,occupant_person,2,519;627,YES,,,,,,,,,,,
CRSS,2024,person.csv,SEAT_POS,candidate_feature,occupant_person,1,523,YES,,,,,,,,,,,
CRSS,2024,person.csv,REST_USE,candidate_feature,occupant_person,1,528,YES,,,,,,,,,,,
CRSS,2024,person.csv,REST_MIS,candidate_feature,occupant_person,1,528,YES,,,,,,,,,,,
CRSS,2024,person.csv,HELM_USE,candidate_feature,occupant_person,1,533,YES,,,,,,,,,,,
CRSS,2024,person.csv,HELM_MIS,candidate_feature,occupant_person,1,533,YES,,,,,,,,,,,
CRSS,2024,person.csv,AIR_BAG,candidate_feature,occupant_person,1,536,YES,,,,,,,,,,,
CRSS,2024,person.csv,EJECTION,candidate_feature,occupant_person,27,7;38;55;293;510;537;539;540;541;542;820;829;948;1051;1053;1057;1064;1065;1066;1067;1144;1154;1162;1171;1197;1208;1209,YES,,,,,,,,,,,
CRSS,2024,person.csv,EJECT_IM,candidate_feature,occupant_person,0,,NO,,,,,,,,,,,
CRSS,2024,person.csv,HOSPITAL,candidate_feature,occupant_person,38,5;24;40;46;66;148;149;150;151;152;154;155;203;261;520;595;596;597;598;660;661;675;717;721;775;776;777;778;1073;1074;1128;1129;1188;1205;1206;1209;1210;1224,YES,,,,,,,,,,,
CRSS,2024,person.csv,ROLLOVER,candidate_feature,occupant_person,49,6;29;99;103;106;113;133;171;202;224;269;270;271;279;285;289;290;291;293;298;303;306;307;309;314;483;537;540;749;769;789;809;821;826;933;934;935;936;947;960;965;966;967;1143;1144;1167;1185;1231;1232,YES,,,,,,,,,,,
CRSS,2024,person.csv,IMPACT1,candidate_feature,occupant_person,1,272,YES,,,,,,,,,,,
CRSS,2024,person.csv,FIRE_EXP,candidate_feature,occupant_person,1,318,YES,,,,,,,,,,,
CRSS,2024,vehicle.csv,HARM_EV,candidate_feature,vehicle,1,103,YES,,,,,,,,,,,
CRSS,2024,vehicle.csv,MAN_COLL,candidate_feature,vehicle,1,117,YES,,,,,,,,,,,
CRSS,2024,vehicle.csv,TRAV_SP,candidate_feature,vehicle,1,264,YES,,,,,,,,,,,
CRSS,2024,vehicle.csv,ROLLOVER,candidate_feature,vehicle,49,6;29;99;103;106;113;133;171;202;224;269;270;271;279;285;289;290;291;293;298;303;306;307;309;314;483;537;540;749;769;789;809;821;826;933;934;935;936;947;960;965;966;967;1143;1144;1167;1185;1231;1232,YES,,,,,,,,,,,
CRSS,2024,vehicle.csv,IMPACT1,candidate_feature,vehicle,1,272,YES,,,,,,,,,,,
CRSS,2024,vehicle.csv,DEFORMED,candidate_feature,vehicle,1,281,YES,,,,,,,,,,,
CRSS,2024,vehicle.csv,FIRE_EXP,candidate_feature,vehicle,1,318,YES,,,,,,,,,,,
CRSS,2024,vehicle.csv,NUM_INJV,candidate_target,vehicle,0,,NO,,,,,,,,,,,
CRSS,2024,vehicle.csv,SPEEDREL,candidate_feature,vehicle,1,366,YES,,,,,,,,,,,
CRSS,2024,vehicle.csv,VTRAFWAY,candidate_feature,vehicle,1,423,YES,,,,,,,,,,,
CRSS,2024,vehicle.csv,VNUM_LAN,candidate_feature,vehicle,1,426,YES,,,,,,,,,,,
CRSS,2024,vehicle.csv,VSPD_LIM,candidate_feature,vehicle,1,429,YES,,,,,,,,,,,
CRSS,2024,vehicle.csv,VALIGN,candidate_feature,vehicle,1,431,YES,,,,,,,,,,,
CRSS,2024,vehicle.csv,VPROFILE,candidate_feature,vehicle,1,433,YES,,,,,,,,,,,
CRSS,2024,vehicle.csv,VSURCOND,candidate_feature,vehicle,1,437,YES,,,,,,,,,,,
CRSS,2024,vehicle.csv,VTRAFCON,candidate_feature,vehicle,1,440,YES,,,,,,,,,,,
CRSS,2024,vehicle.csv,ACC_TYPE,candidate_feature,vehicle,1,483,YES,,,,,,,,,,,
CRSS,2024,vision.csv,VISION,candidate_feature,environment,35,7;35;282;338;368;369;387;448;449;450;604;610;611;638;651;664;669;670;787;970;999;1007;1011;1012;1079;1081;1100;1101;1120;1139;1146;1165;1182;1213;1298,YES,,,,,,,,,,,
CRSS,2024,vpicdecode.csv,FORWARDCOLLISIONWARNING,candidate_feature,vehicle_technology,0,,NO,,,,,,,,,,,
CRSS,2024,vpicdecode.csv,DYNAMICBRAKESUPPORT,candidate_feature,vehicle_technology,0,,NO,,,,,,,,,,,
CRSS,2024,vpicdecode.csv,PEDESTRIANAUTOEMERGENCYBRAKING,candidate_feature,vehicle_technology,0,,NO,,,,,,,,,,,
CRSS,2024,vpicdecode.csv,BLINDSPOTWARNING,candidate_feature,vehicle_technology,0,,NO,,,,,,,,,,,
CRSS,2024,vpicdecode.csv,LANEDEPARTUREWARNING,candidate_feature,vehicle_technology,0,,NO,,,,,,,,,,,
CRSS,2024,vpicdecode.csv,LANEKEEPINGASSISTANCE,candidate_feature,vehicle_technology,0,,NO,,,,,,,,,,,
CRSS,2024,vpicdecode.csv,LANECENTERINGASSISTANCE,candidate_feature,vehicle_technology,0,,NO,,,,,,,,,,,
CRSS,2024,vpicdecode.csv,ADAPTIVECRUISECONTROL,candidate_feature,vehicle_technology,0,,NO,,,,,,,,,,,
