table,variable,rows,missing,nonmissing,missing_pct
accident.csv,PEDS,51658,0,51658,0.0
accident.csv,HARM_EV,51658,0,51658,0.0
accident.csv,MAN_COLL,51658,0,51658,0.0
person.csv,ROLLOVER,126159,5249,120910,4.1606
person.csv,IMPACT1,126159,5249,120910,4.1606
person.csv,FIRE_EXP,126159,5249,120910,4.1606
person.csv,AGE,126159,0,126159,0.0
person.csv,SEX,126159,0,126159,0.0
person.csv,INJ_SEV,126159,0,126159,0.0
person.csv,SEAT_POS,126159,0,126159,0.0
person.csv,REST_USE,126159,0,126159,0.0
person.csv,REST_MIS,126159,0,126159,0.0
person.csv,HELM_USE,126159,0,126159,0.0
person.csv,HELM_MIS,126159,0,126159,0.0
person.csv,AIR_BAG,126159,0,126159,0.0
person.csv,EJECTION,126159,0,126159,0.0
person.csv,HOSPITAL,126159,0,126159,0.0
person.csv,HARM_EV,126159,0,126159,0.0
person.csv,MAN_COLL,126159,0,126159,0.0
vehicle.csv,HARM_EV,90641,0,90641,0.0
vehicle.csv,MAN_COLL,90641,0,90641,0.0
vehicle.csv,TRAV_SP,90641,0,90641,0.0
vehicle.csv,ROLLOVER,90641,0,90641,0.0
vehicle.csv,IMPACT1,90641,0,90641,0.0
vehicle.csv,DEFORMED,90641,0,90641,0.0
vehicle.csv,FIRE_EXP,90641,0,90641,0.0
vehicle.csv,SPEEDREL,90641,0,90641,0.0
vehicle.csv,VTRAFWAY,90641,0,90641,0.0
vehicle.csv,VNUM_LAN,90641,0,90641,0.0
vehicle.csv,VSPD_LIM,90641,0,90641,0.0
vehicle.csv,VALIGN,90641,0,90641,0.0
vehicle.csv,VPROFILE,90641,0,90641,0.0
vehicle.csv,VSURCOND,90641,0,90641,0.0
vehicle.csv,VTRAFCON,90641,0,90641,0.0
vehicle.csv,ACC_TYPE,90641,0,90641,0.0
vision.csv,VISION,90668,0,90668,0.0
weather.csv,WEATHER,52032,0,52032,0.0
