dataset,year,table,variable,role,family,manual_page,semantic_anchor_score,format,sas_name,element_values,definition,verification_status
CRSS,2024,accident.csv,PEDS,candidate_feature,crash_context,67,3,2 numeric,Accident.PEDS,Codes Attributes 00-99 Actual Number,This element records the number of Person (Not a Motor Vehicle Occupant) Level forms that are applicable to this case.,DEFINITION_CONTEXT_FOUND
CRSS,2024,accident.csv,HARM_EV,candidate_feature,crash_context,103,3,2 numeric,"Accident.HARM_EV, Vehicle.HARM_EV, Person.HARM_EV, Parkwork.PHARM_EV","Non-Collision Harmful Events: Codes Attributes 01 Rollover/Overturn 02 Fire/Explosion 03 Immersion or Partial Immersion 04 Gas Inhalation 51 Jackknife (harmful to this vehicle) 06 Injured in Vehicle (Non-Collision) 44 Pavement Surface Irregularity (Ruts, Potholes, Grates, etc.) 07 Other Non-Collision 16 Thrown or Falling Object 72 Cargo/Equipment Loss, Shift, or Damage (harmful) 05 Fell/Jumped from Vehicle Collision With Motor Vehicle In-Transport: Codes Attributes 12 Motor Vehicle In-Transport 54 Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons, or Objects Set in Motion from/by Another Motor Vehicle In-Transport 55 Motor Vehicle in Motion Outside the Trafficway Collision With Object Not Fixed: Codes Attributes 08 Pedestrian 09 Pedalcyclist 10 Railway Vehicle 74 Road Vehicle on Rails 11 Live Animal",,STRUCTURED_PAGE_FOUND
CRSS,2024,accident.csv,MAN_COLL,candidate_feature,crash_context,117,3,2 numeric,"Accident.MAN_COLL, Vehicle.MAN_COLL, Person.MAN_COLL, Parkwork.PMAN_COLL",Codes Attributes 00 The First Harmful Event was Not a Collision with a Motor Vehicle In-Transport 01 Front-to-Rear 02 Front-to-Front 06 Angle 07 Sideswipe-Same Direction 08 Sideswipe-Opposite Direction 09 Rear-to-Side 10 Rear-to-Rear 11 Other 98 Not Reported 99 Reported as Unknown,"This element identifies the orientation of two motor vehicles in-transport when they are involved in the FIRST HARMFUL EVENT of a collision crash. If the FIRST HARMFUL EVENT is not a collision between two motor vehicles in-transport, it is classified as such.",DEFINITION_CONTEXT_FOUND
CRSS,2024,accident.csv,WEATHER,candidate_feature,crash_context,142,3,2 numeric. Select All That Apply.,Weather.WEATHER,"Codes Attributes 01 Clear 10 Cloudy 02 Rain 03 Sleet or Hail 12 Freezing Rain or Drizzle 04 Snow 11 Blowing Snow 05 Fog, Smog, Smoke 06 Severe Crosswinds 07 Blowing Sand, Soil, Dirt 08 Other 98 Not Reported 99 Reported as Unknown",This element identifies the prevailing atmospheric conditions that existed at the time of the crash as recorded on the police crash report.,DEFINITION_CONTEXT_FOUND
CRSS,2024,person.csv,HARM_EV,candidate_feature,occupant_person,103,3,2 numeric,"Accident.HARM_EV, Vehicle.HARM_EV, Person.HARM_EV, Parkwork.PHARM_EV","Non-Collision Harmful Events: Codes Attributes 01 Rollover/Overturn 02 Fire/Explosion 03 Immersion or Partial Immersion 04 Gas Inhalation 51 Jackknife (harmful to this vehicle) 06 Injured in Vehicle (Non-Collision) 44 Pavement Surface Irregularity (Ruts, Potholes, Grates, etc.) 07 Other Non-Collision 16 Thrown or Falling Object 72 Cargo/Equipment Loss, Shift, or Damage (harmful) 05 Fell/Jumped from Vehicle Collision With Motor Vehicle In-Transport: Codes Attributes 12 Motor Vehicle In-Transport 54 Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons, or Objects Set in Motion from/by Another Motor Vehicle In-Transport 55 Motor Vehicle in Motion Outside the Trafficway Collision With Object Not Fixed: Codes Attributes 08 Pedestrian 09 Pedalcyclist 10 Railway Vehicle 74 Road Vehicle on Rails 11 Live Animal",,STRUCTURED_PAGE_FOUND
CRSS,2024,person.csv,MAN_COLL,candidate_feature,occupant_person,117,3,2 numeric,"Accident.MAN_COLL, Vehicle.MAN_COLL, Person.MAN_COLL, Parkwork.PMAN_COLL",Codes Attributes 00 The First Harmful Event was Not a Collision with a Motor Vehicle In-Transport 01 Front-to-Rear 02 Front-to-Front 06 Angle 07 Sideswipe-Same Direction 08 Sideswipe-Opposite Direction 09 Rear-to-Side 10 Rear-to-Rear 11 Other 98 Not Reported 99 Reported as Unknown,"This element identifies the orientation of two motor vehicles in-transport when they are involved in the FIRST HARMFUL EVENT of a collision crash. If the FIRST HARMFUL EVENT is not a collision between two motor vehicles in-transport, it is classified as such.",DEFINITION_CONTEXT_FOUND
CRSS,2024,person.csv,AGE,candidate_feature,occupant_person,37,0,,,,"PC20 Attempted Avoidance Maneuver FARS, CRSS This element identifies movements/ actions taken by the driver within a critical crash envelope in response to a CRITICAL PRECRASH EVENT. PC21 Pre-Impact Stability FARS, CRSS This element assesses the stability of the vehicle after the critical event but before the impact. PC22 Pre-Impact Location FARS, CRSS This element assesses the location of the vehicle after the critical event and immediately before the First Harmful Event for this vehicle. PC23 Crash Type FARS, CRSS This element describes the type of crash this in-transport vehicle was involved in based on the FIRST HARMFUL EVENT and the precrash circumstances. Person (Motor Vehicle Occupant) Level Elements 2024 Element ID Element Name FARS, CRSS, Case Structure Definition P1 State Number FARS Only This element identifies the State in which the crash occurred. P2 Consecutive Number FARS Only This element identifies the unique case number assigned by the data entry system. P3 Vehicle Number—Person Level Case Structure This element identifies the vehicle number associated with this motor vehicle occupant. P4 Person Number Case Structure This element identifies a number for the motor vehicle occupant in consecutive order for the vehicle they occupied. P5 Age FARS, CRSS This element identifies the person’s age in years with respect to the person’s last birthday.",DEFINITION_CONTEXT_FOUND
CRSS,2024,person.csv,AGE,candidate_feature,occupant_person,41,0,,,,"NM1 State Number FARS Only This element identifies the State in which the crash occurred. NM2 Consecutive Number FARS Only This element identifies the unique case number assigned by the data entry system. NM3 Person Number Case Structure This element identifies a number for people that are not in a motor vehicle in consecutive order. NM4 Vehicle Number of Motor Vehicle Striking Non- Motorist FARS, CRSS This data element captures the in- transport vehicle that made contact with this non-motorist. NM5 Age FARS, CRSS This element identifies the person’s age in years with respect to the person’s last birthday. NM6 Sex FARS, CRSS This element identifies the sex of the person involved in the crash NM7 Person Type FARS, CRSS This element describes the role of this person involved in the crash. NM8 Non-Motorist Device Type FARS, CRSS This element describes the type of transport device operated by the non-motorist. NM9 Non-Motorist Device Motorization FARS, CRSS This element describes the motorization of the device operated by the non-motorist. NM10 Injury Severity FARS, CRSS This element describes the severity of the injury to this person in the crash. NM11 Pedestrian/Bike Typing FARS, CRSS This element describes the precrash actions leading to crashes between motor vehicles and pedestrians or bicyclists. NM11 – PB27 Marked Crosswalk Present—Pedestrian (see the companion Pedestrian/ Bicyclist Manual) FARS, CRSS This element identifies if a marked crosswalk was present at the crash site.",DEFINITION_CONTEXT_FOUND
CRSS,2024,person.csv,AGE,candidate_feature,occupant_person,513,3,3 numeric,Person.AGE,Codes Attributes 000 Less than One Year 001-120 Actual Age* 998 Not Reported 999 Reported as Unknown,This element identifies the person’s age in years on the date of the crash.,DEFINITION_CONTEXT_FOUND
CRSS,2024,person.csv,AGE,candidate_feature,occupant_person,536,3,2 numeric,Person.AIR_BAG,"Codes Attributes 01 Deployed- Front 02 Deployed- Side (door, seatback) 03 Deployed- Curtain (roof) 07 Deployed- Other (knee, air belt, etc.) 08 Deployed- Combination 09 Deployment- Unknown Location 20 Not Deployed 98 Not Reported 99 Reported as Deployment Unknown",This element is used to record air bag deployment for this person as reported in the case materials.,DEFINITION_CONTEXT_FOUND
