dataset,year,table,variable,role,family,manual_page,expected_sas_name,actual_sas_name,format,element_values,definition,verification_status
CRSS,2024,accident.csv,PEDS,candidate_feature,crash_context,67,accident.PEDS,Accident.PEDS,2 numeric,Codes Attributes 00-99 Actual Number,This element records the number of Person (Not a Motor Vehicle Occupant) Level forms that are applicable to this case.,VERIFIED_SAS_NAME_AND_DEFINITION
CRSS,2024,accident.csv,HARM_EV,candidate_feature,crash_context,103,accident.HARM_EV,"Accident.HARM_EV, Vehicle.HARM_EV, Person.HARM_EV, Parkwork.PHARM_EV",2 numeric,"Non-Collision Harmful Events: Codes Attributes 01 Rollover/Overturn 02 Fire/Explosion 03 Immersion or Partial Immersion 04 Gas Inhalation 51 Jackknife (harmful to this vehicle) 06 Injured in Vehicle (Non-Collision) 44 Pavement Surface Irregularity (Ruts, Potholes, Grates, etc.) 07 Other Non-Collision 16 Thrown or Falling Object 72 Cargo/Equipment Loss, Shift, or Damage (harmful) 05 Fell/Jumped from Vehicle Collision With Motor Vehicle In-Transport: Codes Attributes 12 Motor Vehicle In-Transport 54 Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons, or Objects Set in Motion from/by Another Motor Vehicle In-Transport 55 Motor Vehicle in Motion Outside the Trafficway Collision With Object Not Fixed: Codes Attributes 08 Pedestrian 09 Pedalcyclist 10 Railway Vehicle 74 Road Vehicle on Rails 11 Live Animal",,SAS_NAME_MATCH_REQUIRES_REVIEW
CRSS,2024,accident.csv,MAN_COLL,candidate_feature,crash_context,117,accident.MAN_COLL,"Accident.MAN_COLL, Vehicle.MAN_COLL, Person.MAN_COLL, Parkwork.PMAN_COLL",2 numeric,Codes Attributes 00 The First Harmful Event was Not a Collision with a Motor Vehicle In-Transport 01 Front-to-Rear 02 Front-to-Front 06 Angle 07 Sideswipe-Same Direction 08 Sideswipe-Opposite Direction 09 Rear-to-Side 10 Rear-to-Rear 11 Other 98 Not Reported 99 Reported as Unknown,"This element identifies the orientation of two motor vehicles in-transport when they are involved in the FIRST HARMFUL EVENT of a collision crash. If the FIRST HARMFUL EVENT is not a collision between two motor vehicles in-transport, it is classified as such.",VERIFIED_SAS_NAME_AND_DEFINITION
CRSS,2024,person.csv,HARM_EV,candidate_feature,occupant_person,103,person.HARM_EV,"Accident.HARM_EV, Vehicle.HARM_EV, Person.HARM_EV, Parkwork.PHARM_EV",2 numeric,"Non-Collision Harmful Events: Codes Attributes 01 Rollover/Overturn 02 Fire/Explosion 03 Immersion or Partial Immersion 04 Gas Inhalation 51 Jackknife (harmful to this vehicle) 06 Injured in Vehicle (Non-Collision) 44 Pavement Surface Irregularity (Ruts, Potholes, Grates, etc.) 07 Other Non-Collision 16 Thrown or Falling Object 72 Cargo/Equipment Loss, Shift, or Damage (harmful) 05 Fell/Jumped from Vehicle Collision With Motor Vehicle In-Transport: Codes Attributes 12 Motor Vehicle In-Transport 54 Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons, or Objects Set in Motion from/by Another Motor Vehicle In-Transport 55 Motor Vehicle in Motion Outside the Trafficway Collision With Object Not Fixed: Codes Attributes 08 Pedestrian 09 Pedalcyclist 10 Railway Vehicle 74 Road Vehicle on Rails 11 Live Animal",,SAS_NAME_MATCH_REQUIRES_REVIEW
CRSS,2024,person.csv,MAN_COLL,candidate_feature,occupant_person,117,person.MAN_COLL,"Accident.MAN_COLL, Vehicle.MAN_COLL, Person.MAN_COLL, Parkwork.PMAN_COLL",2 numeric,Codes Attributes 00 The First Harmful Event was Not a Collision with a Motor Vehicle In-Transport 01 Front-to-Rear 02 Front-to-Front 06 Angle 07 Sideswipe-Same Direction 08 Sideswipe-Opposite Direction 09 Rear-to-Side 10 Rear-to-Rear 11 Other 98 Not Reported 99 Reported as Unknown,"This element identifies the orientation of two motor vehicles in-transport when they are involved in the FIRST HARMFUL EVENT of a collision crash. If the FIRST HARMFUL EVENT is not a collision between two motor vehicles in-transport, it is classified as such.",VERIFIED_SAS_NAME_AND_DEFINITION
CRSS,2024,person.csv,AGE,candidate_feature,occupant_person,513,person.AGE,Person.AGE,3 numeric,Codes Attributes 000 Less than One Year 001-120 Actual Age* 998 Not Reported 999 Reported as Unknown,This element identifies the person’s age in years on the date of the crash.,VERIFIED_SAS_NAME_AND_DEFINITION
CRSS,2024,person.csv,AGE,candidate_feature,occupant_person,617,person.AGE,Person.AGE,3 numeric,Codes Attributes -- Blank 000 Less than One Year 001-120 Actual Age* 998 Not Reported 999 Reported as Unknown,This element identifies the person’s age in years on the date of the crash.,VERIFIED_SAS_NAME_AND_DEFINITION
CRSS,2024,person.csv,SEX,candidate_feature,occupant_person,515,person.SEX,Person.SEX,1 numeric,Codes Attributes 1 Male 2 Female 8 Not Reported 9 Reported as Unknown,This element identifies the sex of the person involved in the crash.,VERIFIED_SAS_NAME_AND_DEFINITION
CRSS,2024,person.csv,SEX,candidate_feature,occupant_person,618,person.SEX,Person.SEX,1 numeric,Codes Attributes 1 Male 2 Female 8 Not Reported 9 Reported as Unknown,This element identifies the sex of the person involved in the crash.,VERIFIED_SAS_NAME_AND_DEFINITION
CRSS,2024,person.csv,INJ_SEV,candidate_target,occupant_person,519,person.INJ_SEV,Person.INJ_SEV,1 numeric,"Codes Attributes 0 No Apparent Injury (O) 1 Possible Injury (C) 2 Suspected Minor Injury (B) 3 Suspected Serious Injury (A) 4 Fatal Injury (K) 5 Injured, Severity Unknown 6 Died Prior to Crash* 9 Unknown/Not Reported",This element describes the severity of the injury to this person in the crash.,VERIFIED_SAS_NAME_AND_DEFINITION
CRSS,2024,person.csv,INJ_SEV,candidate_target,occupant_person,627,person.INJ_SEV,Person.INJ_SEV,1 numeric,"Codes Attributes 0 No Apparent Injury (O) 1 Possible Injury (C) 2 Suspected Minor Injury (B) 3 Suspected Serious Injury (A) 4 Fatal Injury (K) 5 Injured, Severity Unknown 6 Died Prior to Crash* 9 Unknown/Not Reported",This element describes the severity of the injury to this person in the crash.,VERIFIED_SAS_NAME_AND_DEFINITION
CRSS,2024,person.csv,SEAT_POS,candidate_feature,occupant_person,523,person.SEAT_POS,Person.SEAT_POS,2 numeric,"Codes Attributes 11 Front Seat, Left Side 12 Front Seat, Middle 13 Front Seat, Right Side 18 Front Seat, Other 19 Front Seat, Unknown 21 Second Seat, Left Side 22 Second Seat, Middle 23 Second Seat, Right Side 28 Second Seat, Other 29 Second Seat, Unknown 31 Third Seat, Left Side 32 Third Seat, Middle 33 Third Seat, Right Side 38 Third Seat, Other 39 Third Seat, Unknown 41 Fourth Seat, Left Side 42 Fourth Seat, Middle 43 Fourth Seat, Right Side 48 Fourth Seat, Other 49 Fourth Seat, Unknown 50 Sleeper Section of Cab (Truck) 51 Other Passenger in enclosed passenger or cargo area 52 Other Passenger in unenclosed passenger or cargo area 53 Other Passenger in passenger or cargo area, unknown whether or not enclosed 54 Trailing Unit 55 Riding on Exterior of Vehicle 56 Appended to a Motor Vehicle for Motion 98 Not Reported",,SAS_NAME_MATCH_REQUIRES_REVIEW
CRSS,2024,person.csv,REST_USE,candidate_feature,occupant_person,528,person.REST_USE,"Person.REST_USE, Person.REST_MIS",Subfield 1: 2 numeric; Subfield 2: 1 numeric,"Subfield 1—Type of Restraint System in Use Codes Attributes 20 None Used/Not Applicable 01 Shoulder Belt Only Used 02 Lap Belt Only Used 03 Shoulder and Lap Belt Used 04 Child Restraint - Type Unknown 06 Racing-Style Harness Used 08 Restraint Used - Type Unknown 10 Child Restraint System - Forward Facing 11 Child Restraint System - Rear Facing 12 Booster Seat 97 Other 98 Not Reported 99 Reported as Unknown Subfield 2—Indication of Restraint System Misuse? Codes Attributes 7 None Used/Not Applicable 0 No Indication of Misuse 1 Yes, Indication of Misuse",This element records the restraint equipment in use by the occupant and any indication of misuse of the available restraint system at the time of the crash.,VERIFIED_SAS_NAME_AND_DEFINITION
CRSS,2024,person.csv,REST_MIS,candidate_feature,occupant_person,528,person.REST_MIS,"Person.REST_USE, Person.REST_MIS",Subfield 1: 2 numeric; Subfield 2: 1 numeric,"Subfield 1—Type of Restraint System in Use Codes Attributes 20 None Used/Not Applicable 01 Shoulder Belt Only Used 02 Lap Belt Only Used 03 Shoulder and Lap Belt Used 04 Child Restraint - Type Unknown 06 Racing-Style Harness Used 08 Restraint Used - Type Unknown 10 Child Restraint System - Forward Facing 11 Child Restraint System - Rear Facing 12 Booster Seat 97 Other 98 Not Reported 99 Reported as Unknown Subfield 2—Indication of Restraint System Misuse? Codes Attributes 7 None Used/Not Applicable 0 No Indication of Misuse 1 Yes, Indication of Misuse",This element records the restraint equipment in use by the occupant and any indication of misuse of the available restraint system at the time of the crash.,VERIFIED_SAS_NAME_AND_DEFINITION
