path,filename,category,phase,status,checks,gate,json_valid,size_bytes,sha256
README.md,README.md,documentation,documentation,PRESENT,,,,2340,6c63c9758fb08c7d63ab13af5b0ab293651636522c272b6a4d036123df35e392
data/processed/can_hil/phase5_10/phase5_10_cyber_physical_attack_scenarios.csv,phase5_10_cyber_physical_attack_scenarios.csv,dataset_csv,phase5_10,PRESENT,,,,46388782,f8cabaa9747d7088081eeaf0434eb5ed5efd58be031c28e88d71d7a6848f6691
data/processed/can_hil/phase5_10/phase5_10_cyber_physical_attack_scenarios.jsonl,phase5_10_cyber_physical_attack_scenarios.jsonl,dataset_jsonl,phase5_10,PRESENT,,,,100046388,8b2135899e8fe3b07c18a4ee8248b12c801ac410ce224181a15078e11a8831ac
data/processed/can_hil/phase5_10/phase5_10_cyber_physical_attack_schema.json,phase5_10_cyber_physical_attack_schema.json,schema,phase5_10,PRESENT,,,,1820,56116f6eda69a63a6c1ed380f923186974317412906a5c1a626b2c1b9247e9e5
data/processed/can_hil/phase5_11/phase5_11_predictive_detection.csv,phase5_11_predictive_detection.csv,dataset_csv,phase5_11,PRESENT,,,,1636108,906a984de8aef97504ae8c59489193c6c84ab5217ca41f51d80485ac468bb8f3
data/processed/can_hil/phase5_11/phase5_11_predictive_detection.jsonl,phase5_11_predictive_detection.jsonl,dataset_jsonl,phase5_11,PRESENT,,,,6866289,cd36c30e07d188f5ca0dadc0dc0bc76b1e4a247005946979705cea6ef753d7aa
data/processed/can_hil/phase5_11/phase5_11_predictive_detection_schema.json,phase5_11_predictive_detection_schema.json,schema,phase5_11,PRESENT,,,,13422,2718e7f49fec02bd4cfa418137963a7fee4b7837cacb2361e04c4d8646cab373
data/processed/can_hil/phase5_12/phase5_12_uncertainty_ood.csv,phase5_12_uncertainty_ood.csv,dataset_csv,phase5_12,PRESENT,,,,2443917,40d4788759e164faf671a202d1152b7e2d67b19c500fab50b203780e20ba949a
data/processed/can_hil/phase5_12/phase5_12_uncertainty_ood.jsonl,phase5_12_uncertainty_ood.jsonl,dataset_jsonl,phase5_12,PRESENT,,,,6395615,ad4b3832324805176908fe217b98c5e7be57a28443c157b74ea7e761396959fe
data/processed/can_hil/phase5_12/phase5_12_uncertainty_ood_schema.json,phase5_12_uncertainty_ood_schema.json,schema,phase5_12,PRESENT,,,,1810,022b16849570851e0d630f11adb61db07e3af010c866e57c92bdf1ac0b684b52
data/processed/can_hil/phase5_13/phase5_13_distribution_summary.json,phase5_13_distribution_summary.json,json_evidence,phase5_13,PRESENT,,,,8689,554e601dd66409f7e3661f9b02f9b2d04dc8168af6a2f020e3a191425d223ea5
data/processed/can_hil/phase5_13/phase5_13_extreme_ood_windows.csv,phase5_13_extreme_ood_windows.csv,dataset_csv,phase5_13,PRESENT,,,,9336,e24540230b330365433c1d7dd6c97e4cc7ffa11ea427a0a010cc6af4705d655b
data/processed/can_hil/phase5_13/phase5_13_extreme_uncertainty_windows.csv,phase5_13_extreme_uncertainty_windows.csv,dataset_csv,phase5_13,PRESENT,,,,9658,27a4642efefe1660e37c52633f027872277e8fc135073a2bc31a9f57b2f19d40
data/processed/can_hil/phase5_13/phase5_13_latency_realtime.csv,phase5_13_latency_realtime.csv,dataset_csv,phase5_13,PRESENT,,,,21896,5f99b535f0ab3c18b67d978294287306a028896abf4052c9db3937445224ed41
data/processed/can_hil/phase5_13/phase5_13_latency_realtime.jsonl,phase5_13_latency_realtime.jsonl,dataset_jsonl,phase5_13,PRESENT,,,,36654,aea6f51b303237351effac809107a8ea2e7ca27db54924a4960c003a027683ae
data/processed/can_hil/phase5_13/phase5_13_latency_realtime_schema.json,phase5_13_latency_realtime_schema.json,schema,phase5_13,PRESENT,,,,1146,625208e82e51ce3c65fee2ac4656c72c09b2257691077aa958093040b190d4bf
data/processed/can_hil/phase5_13/phase5_13_scenario_summary.csv,phase5_13_scenario_summary.csv,dataset_csv,phase5_13,PRESENT,,,,2722,363bd2307f4443b6bd8509f11dc490a3f5b35e50db55f6e91434e307103d3ab3
data/processed/can_hil/phase5_14/phase5_14_forensic_evidence.csv,phase5_14_forensic_evidence.csv,dataset_csv,phase5_14,PRESENT,,,,1440382,9c6aa37b6572f668112b326043a8602bc9726249b6fab04408faf5830db8c775
data/processed/can_hil/phase5_14/phase5_14_forensic_evidence.jsonl,phase5_14_forensic_evidence.jsonl,dataset_jsonl,phase5_14,PRESENT,,,,2872360,001abef18cf2420c558e0779b3867f351358975a760a2e5066d17412feff7402
data/processed/can_hil/phase5_14/phase5_14_forensic_evidence_schema.json,phase5_14_forensic_evidence_schema.json,schema,phase5_14,PRESENT,,,,870,48226755dc37d5114758347eaa0d93b9a9882c3c9722c6360dace48fc6465734
data/processed/can_hil/phase5_15/phase5_15_integrity_validation.csv,phase5_15_integrity_validation.csv,dataset_csv,phase5_15,PRESENT,,,,2222,b84d584ed109cb1985eb33f08cb6137b69215a4d81f0adbbc051310a8f136dac
data/processed/can_hil/phase5_15/phase5_15_integrity_validation.jsonl,phase5_15_integrity_validation.jsonl,dataset_jsonl,phase5_15,PRESENT,,,,4294,4f286aac419a82ff9ba3d05799e11fd79a0f7f29373581450cb31d6255bff6c7
data/processed/can_hil/phase5_15/phase5_15_integrity_validation_schema.json,phase5_15_integrity_validation_schema.json,schema,phase5_15,PRESENT,,,,864,ac42f9fd128783f254b19789fbc504b47f3dea740056eaf2db47083e930df16b
data/processed/can_hil/phase5_16/phase5_16_connectivity_recovery.csv,phase5_16_connectivity_recovery.csv,dataset_csv,phase5_16,PRESENT,,,,3727,24ef250be739dfc17bf5c1a6f0aba4e9a39d0a010754d2948b0e953b3c3d0cfe
data/processed/can_hil/phase5_16/phase5_16_connectivity_recovery.jsonl,phase5_16_connectivity_recovery.jsonl,dataset_jsonl,phase5_16,PRESENT,,,,11532,bfa3e299943a0dbc0e424c5593c7f2740a1a802d24936adb4f6c6086ad569d48
data/processed/can_hil/phase5_16/phase5_16_connectivity_recovery_schema.json,phase5_16_connectivity_recovery_schema.json,schema,phase5_16,PRESENT,,,,681,512f943183842acfbf31ca8c1dd665f968e7d749f7e0b71ad44aebb6644da97c
data/processed/can_hil/phase5_17/phase5_17_secure_synchronization.csv,phase5_17_secure_synchronization.csv,dataset_csv,phase5_17,PRESENT,,,,3056,f3c7f8594208593ef60f4f9ec048d21ec943000733b986cf53a346207868358d
data/processed/can_hil/phase5_17/phase5_17_secure_synchronization.jsonl,phase5_17_secure_synchronization.jsonl,dataset_jsonl,phase5_17,PRESENT,,,,7314,a669429a2fc33429666f8fc8e34ec4109fab973edd4846ee2e709438348ed8ea
data/processed/can_hil/phase5_17/phase5_17_secure_synchronization_schema.json,phase5_17_secure_synchronization_schema.json,schema,phase5_17,PRESENT,,,,1154,bb4d6bbbaa0a843ae29d42cafc7c5b39df923e0449b51f4d3c451bf107cf71ad
data/processed/can_hil/phase5_18/phase5_18_adversarial_integrity_validation.csv,phase5_18_adversarial_integrity_validation.csv,dataset_csv,phase5_18,PRESENT,,,,2182,3ddca002e54caf93660676f790d558ca52eda8e31fea6997b331e9e293f54764
data/processed/can_hil/phase5_18/phase5_18_adversarial_integrity_validation.jsonl,phase5_18_adversarial_integrity_validation.jsonl,dataset_jsonl,phase5_18,PRESENT,,,,6284,9e65b1673a8e053f11c8d7fb9d85f6d44f9052dc79a6e97de17b44f3d6bb69e9
data/processed/can_hil/phase5_18/phase5_18_adversarial_integrity_validation_schema.json,phase5_18_adversarial_integrity_validation_schema.json,schema,phase5_18,PRESENT,,,,878,2356d85fb0ccd1995c9e19b48dfde90940613daefafdbaa494b39a1b51e5ca7d
data/processed/can_hil/phase5_19/phase5_19_end_to_end_resilience_validation.csv,phase5_19_end_to_end_resilience_validation.csv,dataset_csv,phase5_19,PRESENT,,,,3037,d8a77498ed132f450352978505c47dc4bb0258d91eb7f108b336bec5005efc38
data/processed/can_hil/phase5_19/phase5_19_end_to_end_resilience_validation.jsonl,phase5_19_end_to_end_resilience_validation.jsonl,dataset_jsonl,phase5_19,PRESENT,,,,7444,5339c47319e13c72a807febaf07f7fee65efa8658605a15485341a0b78ac6ca5
data/processed/can_hil/phase5_19/phase5_19_end_to_end_resilience_validation_schema.json,phase5_19_end_to_end_resilience_validation_schema.json,schema,phase5_19,PRESENT,,,,818,d007d7a3167c818c760a533482b04c26ac7ac8c5cd2ca1d89e3307ec66a2998c
data/processed/can_hil/phase5_20/phase5_20_resilience_scorecard.csv,phase5_20_resilience_scorecard.csv,dataset_csv,phase5_20,PRESENT,,,,4143,04e13f71483d8ff48397ebe53337139beedfc95a88dec87501e624e93ca6b0c2
data/processed/can_hil/phase5_20/phase5_20_resilience_scorecard.jsonl,phase5_20_resilience_scorecard.jsonl,dataset_jsonl,phase5_20,PRESENT,,,,10554,892afa9b378132aed4a66b24883d0ae4e4e87d452d84485068227886f79ba533
data/processed/can_hil/phase5_20/phase5_20_resilience_scorecard_schema.json,phase5_20_resilience_scorecard_schema.json,schema,phase5_20,PRESENT,,,,1007,d0c0baaab6af6a964baa8ac6374106921e8a302a6eb5150d67fa188f9b468fb6
data/processed/can_hil/phase5_21/phase5_21_resilience_evidence_matrix.csv,phase5_21_resilience_evidence_matrix.csv,dataset_csv,phase5_21,PRESENT,,,,4869,f0773a7e1d5b4bc9ab7b5db46f764912cc909c3541a37083faf942bc5cc826f7
data/processed/can_hil/phase5_21/phase5_21_resilience_evidence_matrix.jsonl,phase5_21_resilience_evidence_matrix.jsonl,dataset_jsonl,phase5_21,PRESENT,,,,11494,342eaad665f7440dafffc34d2c0519e3ec830a83934003e16e6b4746cc76ac8f
data/processed/can_hil/phase5_21/phase5_21_resilience_evidence_matrix_schema.json,phase5_21_resilience_evidence_matrix_schema.json,schema,phase5_21,PRESENT,,,,1058,745ea85fb0dd5248e2aebfe0d8ad5af121c609e1d699b749a82c7e3f71d18e0f
data/processed/can_hil/phase5_4/virtual_ev_decoded_features.csv,virtual_ev_decoded_features.csv,dataset_csv,phase5_4,PRESENT,,,,303376,495ded7c623199424aebd05d74d5c63fe1aa7d8dab1a965e1b023cfa8c71de6d
data/processed/can_hil/phase5_4/virtual_ev_decoded_features.jsonl,virtual_ev_decoded_features.jsonl,dataset_jsonl,phase5_4,PRESENT,,,,1178680,aba44ecf6770e34510a7fc59780505327aeb14bae98af61075cbf5fd23f6a099
data/processed/can_hil/phase5_5/virtual_ev_cyber_physical_features.csv,virtual_ev_cyber_physical_features.csv,dataset_csv,phase5_5,PRESENT,,,,324725,9cc352ee55aa69de1ff6fd75ec6ebacd98ef5e2bd92979f29451744178d2e6ce
data/processed/can_hil/phase5_5/virtual_ev_cyber_physical_features.jsonl,virtual_ev_cyber_physical_features.jsonl,dataset_jsonl,phase5_5,PRESENT,,,,1240176,fe2677197389c19e2c14fe663f81b35beea8976c8b25193f92a38c9d16769aa4
data/processed/can_hil/phase5_6/ev_safety_requirements_evaluation.csv,ev_safety_requirements_evaluation.csv,dataset_csv,phase5_6,PRESENT,,,,3672116,0a58960f6142fad4876a7eacf986c1d59f503dc47c53559a858505232b3c6bcf
data/processed/can_hil/phase5_6/ev_safety_requirements_evaluation.jsonl,ev_safety_requirements_evaluation.jsonl,dataset_jsonl,phase5_6,PRESENT,,,,6818424,0b012b727fbe483f17dacb2ab6f462d5df6dec1917d2723f4590cd7efd23a1fa
data/processed/can_hil/phase5_7/can_ev_frozen_transformer_predictions.csv,can_ev_frozen_transformer_predictions.csv,dataset_csv,phase5_7,PRESENT,,,,168951,f8b5283c3e85f1bc8b4e6e3bde6cc88ee2c61eb45dc03299a6432a593d0fcd03
data/processed/can_hil/phase5_7/can_ev_frozen_transformer_predictions.jsonl,can_ev_frozen_transformer_predictions.jsonl,dataset_jsonl,phase5_7,PRESENT,,,,867010,1286d41730180f36d2e9f0e74333d9e47720ab5692270b5b73fa30b76b6dbf9e
data/processed/can_hil/phase5_7/phase5_7_model_input_contract.json,phase5_7_model_input_contract.json,json_evidence,phase5_7,PRESENT,,,,3171,e22097c01d29cc5c711b0f9b5916106fb676b830da86f2a8c033ee25ba5e7335
data/processed/can_hil/phase5_8/phase5_8_ground_truth_experiment_log.csv,phase5_8_ground_truth_experiment_log.csv,dataset_csv,phase5_8,PRESENT,,,,650495,902089a51ed1920f98ddaea652253b1637bd6de1bb418c743ba77cb41c1266a1
