section,role,path,exists,size_bytes,sha256,claim_supported
"Research Objective","research_questions","docs\research_questions.md","True","3064","1b2f380192f54414bc7c16ab52aac56ad5fe8e1619984b071825f246834e7a64","Research questions and objectives"
"Research Objective","system_architecture","docs\system_architecture.md","True","4820","7db89c1aa83fc33017fcfc3adbafc4592d898f7e4afcafed69621100d54693da","Overall research architecture"
"Research Objective","final_documentation","docs\FINAL_RESEARCH_DOCUMENTATION.md","True","13471","dceb8a2a3f222ae99d3975d9542d67919c0394e87b0f85b14940446a7a03da5f","Final consolidated research description"
"Dataset Foundation","data_architecture","docs\data_architecture.md","True","7554","dfb847a5e5253339cd3704f81347101557b80dc3f299b09215aff0d51d3f2f69","Dataset architecture and provenance"
"Dataset Foundation","cyber_physical_dataset","data\processed\can_hil\phase5_10\phase5_10_cyber_physical_attack_scenarios.csv","True","46388782","f8cabaa9747d7088081eeaf0434eb5ed5efd58be031c28e88d71d7a6848f6691","Controlled cyber-physical experimental data"
"Predictive Modeling","frozen_checkpoint","models\v2\advanced\crss_2024_v2_temporal_transformer_best.pt","True","4946461","d54cfc5fb5613fef5bdfd6ac4b2ce780ebd2e64ca47b7e57c630dae3d323a754","Frozen temporal Transformer checkpoint"
"Predictive Modeling","predictive_manifest","experiments\can_hil\phase5_11\phase5_11_predictive_detection_manifest.json","True","13000","bb0cc3cf6338ad15653ed9c7621005740f77a8da0e3529ec9f0767b82049940a","Predictive-detection experiment provenance"
"Uncertainty and OOD","corrected_ood_results","data\processed\can_hil\phase6_2\phase6_2_corrected_ood.csv","True","898450","b5e356442180d124dd3bc625aeba9bb120d9d5352c9c966aab1e570ffee534ff","Corrected OOD results"
"Uncertainty and OOD","ood_manifest","experiments\phase6_2\phase6_2_corrected_ood_manifest.json","True","4767","3c2220d7e70de61d7c8611cc85feb92d79dc5e956622bb23ecd8d3b47b00d854","Corrected OOD experiment provenance"
"Uncertainty and OOD","scientific_review_manifest","experiments\phase6_3\phase6_3_scientific_review_manifest.json","True","1028","61e9cda06954415274f54a17823bc6cfff3aca2efe2fa5ab7162ad1078785bdd","Scientific review of OOD results"
